original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
534,img_534,2403,2462,Livres en langues étrangères,Fournitures bureau
535,img_535,1302,1281,Jeux vidéo rétro,Téléphonie fixe
536,img_536,2585,2582,Sports & Loisirs,Matériel & accessoires
540,img_540,1320,1302,CD,Jeux vidéo rétro
543,img_543,40,2462,DVD & Films,Fournitures bureau
544,img_544,1281,1940,Téléphonie fixe,Instrument musique
547,img_547,2585,1302,Sports & Loisirs,Jeux vidéo rétro
550,img_550,2060,1560,Articles soins,Photos
551,img_551,10,2403,Livres,Livres en langues étrangères
554,img_554,1140,1280,TV,Accessoires téléphones
557,img_557,2060,2582,Articles soins,Matériel & accessoires
561,img_561,1320,1560,CD,Photos
562,img_562,50,2583,Jouets & Jeux,Articles sport
563,img_563,1280,1300,Accessoires téléphones,Jeux vidéo ancien
566,img_566,1320,1300,CD,Jeux vidéo ancien
570,img_570,2585,2583,Sports & Loisirs,Articles sport
573,img_573,2522,1300,Équipement bébé,Jeux vidéo ancien
574,img_574,40,2280,DVD & Films,Jeux vidéo
577,img_577,1300,1280,Jeux vidéo ancien,Accessoires téléphones
580,img_580,2060,1320,Articles soins,CD
581,img_581,2522,2583,Équipement bébé,Articles sport
587,img_587,2403,10,Livres en langues étrangères,Livres
589,img_589,2582,2583,Matériel & accessoires,Articles sport
591,img_591,1281,1160,Téléphonie fixe,Électroménager
593,img_593,1140,1280,TV,Accessoires téléphones
595,img_595,1300,2583,Jeux vidéo ancien,Articles sport
596,img_596,2280,2403,Jeux vidéo,Livres en langues étrangères
597,img_597,2705,2280,Accessoires console,Jeux vidéo
598,img_598,1320,2220,CD,Puériculture
604,img_604,2705,2280,Accessoires console,Jeux vidéo
607,img_607,10,2705,Livres,Accessoires console
608,img_608,1281,2060,Téléphonie fixe,Articles soins
609,img_609,1300,1280,Jeux vidéo ancien,Accessoires téléphones
611,img_611,40,1940,DVD & Films,Instrument musique
612,img_612,1320,1281,CD,Téléphonie fixe
613,img_613,1140,2583,TV,Articles sport
615,img_615,40,2280,DVD & Films,Jeux vidéo
624,img_624,2403,10,Livres en langues étrangères,Livres
628,img_628,1302,2060,Jeux vidéo rétro,Articles soins
629,img_629,1140,1180,TV,Décoration
630,img_630,1280,1320,Accessoires téléphones,CD
634,img_634,1281,1280,Téléphonie fixe,Accessoires téléphones
635,img_635,10,1280,Livres,Accessoires téléphones
638,img_638,1302,2585,Jeux vidéo rétro,Sports & Loisirs
643,img_643,2060,2522,Articles soins,Équipement bébé
645,img_645,2060,1560,Articles soins,Photos
647,img_647,1302,2585,Jeux vidéo rétro,Sports & Loisirs
650,img_650,1140,1280,TV,Accessoires téléphones
652,img_652,2462,40,Fournitures bureau,DVD & Films
653,img_653,2060,2582,Articles soins,Matériel & accessoires
655,img_655,1140,1280,TV,Accessoires téléphones
658,img_658,1281,10,Téléphonie fixe,Livres
659,img_659,1320,2582,CD,Matériel & accessoires
660,img_660,1320,1560,CD,Photos
668,img_668,1302,1300,Jeux vidéo rétro,Jeux vidéo ancien
669,img_669,2060,2583,Articles soins,Articles sport
670,img_670,2060,1560,Articles soins,Photos
671,img_671,2060,2522,Articles soins,Équipement bébé
673,img_673,1300,2583,Jeux vidéo ancien,Articles sport
674,img_674,60,50,Consoles,Jouets & Jeux
678,img_678,2905,1160,Instruments musique,Électroménager
683,img_683,1300,1281,Jeux vidéo ancien,Téléphonie fixe
685,img_685,1140,1180,TV,Décoration
690,img_690,1281,1320,Téléphonie fixe,CD
695,img_695,2582,2583,Matériel & accessoires,Articles sport
696,img_696,2705,2522,Accessoires console,Équipement bébé
697,img_697,60,2583,Consoles,Articles sport
700,img_700,2403,2522,Livres en langues étrangères,Équipement bébé
701,img_701,40,10,DVD & Films,Livres
702,img_702,1320,1140,CD,TV
704,img_704,1140,1280,TV,Accessoires téléphones
705,img_705,2060,1560,Articles soins,Photos
707,img_707,10,2403,Livres,Livres en langues étrangères
708,img_708,2585,2583,Sports & Loisirs,Articles sport
715,img_715,1300,1280,Jeux vidéo ancien,Accessoires téléphones
717,img_717,10,2403,Livres,Livres en langues étrangères
724,img_724,1920,2060,Musique amplifiée,Articles soins
725,img_725,2522,2582,Équipement bébé,Matériel & accessoires
726,img_726,1140,1280,TV,Accessoires téléphones
729,img_729,1280,1300,Accessoires téléphones,Jeux vidéo ancien
733,img_733,2582,1560,Matériel & accessoires,Photos
739,img_739,1300,1140,Jeux vidéo ancien,TV
744,img_744,1920,2585,Musique amplifiée,Sports & Loisirs
747,img_747,1302,1920,Jeux vidéo rétro,Musique amplifiée
748,img_748,1320,2220,CD,Puériculture
752,img_752,1281,40,Téléphonie fixe,DVD & Films
753,img_753,2280,40,Jeux vidéo,DVD & Films
757,img_757,50,40,Jouets & Jeux,DVD & Films
760,img_760,1300,60,Jeux vidéo ancien,Consoles
765,img_765,2585,1300,Sports & Loisirs,Jeux vidéo ancien
767,img_767,1160,2280,Électroménager,Jeux vidéo
768,img_768,1302,2060,Jeux vidéo rétro,Articles soins
769,img_769,2280,2403,Jeux vidéo,Livres en langues étrangères
770,img_770,1560,1280,Photos,Accessoires téléphones
777,img_777,10,1300,Livres,Jeux vidéo ancien
778,img_778,1281,2522,Téléphonie fixe,Équipement bébé
779,img_779,1560,2583,Photos,Articles sport
781,img_781,1940,1280,Instrument musique,Accessoires téléphones
785,img_785,1140,1940,TV,Instrument musique
786,img_786,2060,40,Articles soins,DVD & Films
788,img_788,1300,1140,Jeux vidéo ancien,TV
789,img_789,40,1281,DVD & Films,Téléphonie fixe
793,img_793,50,2060,Jouets & Jeux,Articles soins
794,img_794,2905,50,Instruments musique,Jouets & Jeux
798,img_798,2280,1160,Jeux vidéo,Électroménager
799,img_799,2522,1940,Équipement bébé,Instrument musique
802,img_802,2060,2582,Articles soins,Matériel & accessoires
803,img_803,2585,50,Sports & Loisirs,Jouets & Jeux
804,img_804,2462,40,Fournitures bureau,DVD & Films
805,img_805,1280,1281,Accessoires téléphones,Téléphonie fixe
808,img_808,2522,2583,Équipement bébé,Articles sport
810,img_810,2220,1320,Puériculture,CD
812,img_812,2060,1302,Articles soins,Jeux vidéo rétro
815,img_815,40,2462,DVD & Films,Fournitures bureau
816,img_816,2060,1560,Articles soins,Photos
817,img_817,2280,1281,Jeux vidéo,Téléphonie fixe
818,img_818,40,50,DVD & Films,Jouets & Jeux
821,img_821,2582,1281,Matériel & accessoires,Téléphonie fixe
825,img_825,40,2462,DVD & Films,Fournitures bureau
831,img_831,1160,2280,Électroménager,Jeux vidéo
832,img_832,2585,1560,Sports & Loisirs,Photos
837,img_837,2585,2583,Sports & Loisirs,Articles sport
838,img_838,2582,1560,Matériel & accessoires,Photos
841,img_841,2705,2280,Accessoires console,Jeux vidéo
847,img_847,1920,1560,Musique amplifiée,Photos
849,img_849,1920,10,Musique amplifiée,Livres
850,img_850,1320,1920,CD,Musique amplifiée
852,img_852,1281,1280,Téléphonie fixe,Accessoires téléphones
853,img_853,2060,1280,Articles soins,Accessoires téléphones
855,img_855,1920,2060,Musique amplifiée,Articles soins
857,img_857,40,1280,DVD & Films,Accessoires téléphones
862,img_862,40,1180,DVD & Films,Décoration
863,img_863,2585,2583,Sports & Loisirs,Articles sport
865,img_865,2060,1920,Articles soins,Musique amplifiée
866,img_866,2583,1302,Articles sport,Jeux vidéo rétro
869,img_869,2403,10,Livres en langues étrangères,Livres
870,img_870,1920,1560,Musique amplifiée,Photos
873,img_873,1300,2583,Jeux vidéo ancien,Articles sport
875,img_875,1300,2583,Jeux vidéo ancien,Articles sport
878,img_878,1302,1320,Jeux vidéo rétro,CD
880,img_880,2705,2905,Accessoires console,Instruments musique
884,img_884,2060,1302,Articles soins,Jeux vidéo rétro
889,img_889,1300,1302,Jeux vidéo ancien,Jeux vidéo rétro
900,img_900,1140,1280,TV,Accessoires téléphones
901,img_901,1280,1320,Accessoires téléphones,CD
906,img_906,40,2522,DVD & Films,Équipement bébé
907,img_907,2220,1560,Puériculture,Photos
909,img_909,2403,2280,Livres en langues étrangères,Jeux vidéo
910,img_910,1280,1560,Accessoires téléphones,Photos
912,img_912,2585,2583,Sports & Loisirs,Articles sport
913,img_913,1300,2583,Jeux vidéo ancien,Articles sport
922,img_922,2060,2522,Articles soins,Équipement bébé
924,img_924,1302,2220,Jeux vidéo rétro,Puériculture
925,img_925,50,2583,Jouets & Jeux,Articles sport
926,img_926,1280,1302,Accessoires téléphones,Jeux vidéo rétro
933,img_933,1320,2583,CD,Articles sport
934,img_934,1300,1280,Jeux vidéo ancien,Accessoires téléphones
935,img_935,40,1281,DVD & Films,Téléphonie fixe
938,img_938,1320,2583,CD,Articles sport
949,img_949,1320,2060,CD,Articles soins
950,img_950,1560,1320,Photos,CD
954,img_954,2280,2403,Jeux vidéo,Livres en langues étrangères
964,img_964,1560,2060,Photos,Articles soins
965,img_965,1300,1280,Jeux vidéo ancien,Accessoires téléphones
970,img_970,1281,1280,Téléphonie fixe,Accessoires téléphones
972,img_972,10,2705,Livres,Accessoires console
977,img_977,1560,2582,Photos,Matériel & accessoires
978,img_978,2585,1560,Sports & Loisirs,Photos
979,img_979,2462,50,Fournitures bureau,Jouets & Jeux
980,img_980,2582,1560,Matériel & accessoires,Photos
981,img_981,2280,2403,Jeux vidéo,Livres en langues étrangères
982,img_982,1160,2403,Électroménager,Livres en langues étrangères
983,img_983,1300,1280,Jeux vidéo ancien,Accessoires téléphones
985,img_985,1300,2522,Jeux vidéo ancien,Équipement bébé
986,img_986,2403,10,Livres en langues étrangères,Livres
990,img_990,2522,2583,Équipement bébé,Articles sport
991,img_991,1281,40,Téléphonie fixe,DVD & Films
993,img_993,1281,1300,Téléphonie fixe,Jeux vidéo ancien
995,img_995,2705,1280,Accessoires console,Accessoires téléphones
996,img_996,1302,1281,Jeux vidéo rétro,Téléphonie fixe
999,img_999,60,50,Consoles,Jouets & Jeux
1001,img_1001,2582,50,Matériel & accessoires,Jouets & Jeux
1003,img_1003,1560,1320,Photos,CD
1015,img_1015,1281,1280,Téléphonie fixe,Accessoires téléphones
1017,img_1017,1300,2583,Jeux vidéo ancien,Articles sport
1018,img_1018,1280,1300,Accessoires téléphones,Jeux vidéo ancien
1019,img_1019,2403,2060,Livres en langues étrangères,Articles soins
1022,img_1022,1320,1560,CD,Photos
1029,img_1029,40,1160,DVD & Films,Électroménager
1030,img_1030,1320,1280,CD,Accessoires téléphones
1031,img_1031,60,1560,Consoles,Photos
1033,img_1033,10,2280,Livres,Jeux vidéo
1034,img_1034,1302,1560,Jeux vidéo rétro,Photos
1035,img_1035,1302,2060,Jeux vidéo rétro,Articles soins
1041,img_1041,2280,2403,Jeux vidéo,Livres en langues étrangères
1045,img_1045,1140,1300,TV,Jeux vidéo ancien
1054,img_1054,2403,1281,Livres en langues étrangères,Téléphonie fixe
1062,img_1062,1940,1302,Instrument musique,Jeux vidéo rétro
1064,img_1064,2462,10,Fournitures bureau,Livres
1068,img_1068,2220,1320,Puériculture,CD
1069,img_1069,1300,1320,Jeux vidéo ancien,CD
1072,img_1072,2705,2403,Accessoires console,Livres en langues étrangères
1073,img_1073,1300,40,Jeux vidéo ancien,DVD & Films
1075,img_1075,40,1281,DVD & Films,Téléphonie fixe
1080,img_1080,2403,2060,Livres en langues étrangères,Articles soins
1081,img_1081,1302,1280,Jeux vidéo rétro,Accessoires téléphones
1082,img_1082,1160,1281,Électroménager,Téléphonie fixe
1084,img_1084,1560,2583,Photos,Articles sport
1085,img_1085,2582,1560,Matériel & accessoires,Photos
1086,img_1086,1281,1301,Téléphonie fixe,Consoles rétro
1089,img_1089,40,60,DVD & Films,Consoles
1090,img_1090,2583,1940,Articles sport,Instrument musique
1092,img_1092,1302,1280,Jeux vidéo rétro,Accessoires téléphones
1093,img_1093,2280,2403,Jeux vidéo,Livres en langues étrangères
1095,img_1095,1560,1320,Photos,CD
1100,img_1100,2582,2583,Matériel & accessoires,Articles sport
1102,img_1102,1160,40,Électroménager,DVD & Films
1105,img_1105,2403,1940,Livres en langues étrangères,Instrument musique
1106,img_1106,2280,1160,Jeux vidéo,Électroménager
1111,img_1111,2585,2582,Sports & Loisirs,Matériel & accessoires
1113,img_1113,2522,1320,Équipement bébé,CD
1118,img_1118,2905,1140,Instruments musique,TV
1123,img_1123,2280,10,Jeux vidéo,Livres
1125,img_1125,2582,1302,Matériel & accessoires,Jeux vidéo rétro
1128,img_1128,1140,1320,TV,CD
1129,img_1129,1180,2522,Décoration,Équipement bébé
1133,img_1133,2403,40,Livres en langues étrangères,DVD & Films
1136,img_1136,2522,2583,Équipement bébé,Articles sport
1139,img_1139,2582,1560,Matériel & accessoires,Photos
1142,img_1142,2403,1281,Livres en langues étrangères,Téléphonie fixe
1145,img_1145,2585,1560,Sports & Loisirs,Photos
1153,img_1153,2060,1560,Articles soins,Photos
1158,img_1158,2220,2585,Puériculture,Sports & Loisirs
1159,img_1159,2220,1302,Puériculture,Jeux vidéo rétro
1161,img_1161,2585,1281,Sports & Loisirs,Téléphonie fixe
1163,img_1163,2060,2582,Articles soins,Matériel & accessoires
1164,img_1164,10,2705,Livres,Accessoires console
1165,img_1165,2585,2462,Sports & Loisirs,Fournitures bureau
1168,img_1168,2280,2403,Jeux vidéo,Livres en langues étrangères
1170,img_1170,1160,1140,Électroménager,TV
1173,img_1173,2585,2583,Sports & Loisirs,Articles sport
1175,img_1175,2403,2583,Livres en langues étrangères,Articles sport
1177,img_1177,1940,1560,Instrument musique,Photos
1179,img_1179,50,1560,Jouets & Jeux,Photos
1180,img_1180,1560,2582,Photos,Matériel & accessoires
1184,img_1184,10,40,Livres,DVD & Films
1187,img_1187,40,60,DVD & Films,Consoles
1196,img_1196,1302,2060,Jeux vidéo rétro,Articles soins
1197,img_1197,1300,1302,Jeux vidéo ancien,Jeux vidéo rétro
1200,img_1200,2403,1281,Livres en langues étrangères,Téléphonie fixe
1203,img_1203,1560,2060,Photos,Articles soins
1207,img_1207,1280,1281,Accessoires téléphones,Téléphonie fixe
1211,img_1211,2060,2582,Articles soins,Matériel & accessoires
1218,img_1218,2280,2522,Jeux vidéo,Équipement bébé
1219,img_1219,1281,1140,Téléphonie fixe,TV
1221,img_1221,2582,2583,Matériel & accessoires,Articles sport
1223,img_1223,2705,10,Accessoires console,Livres
1224,img_1224,1302,2583,Jeux vidéo rétro,Articles sport
1226,img_1226,1320,1302,CD,Jeux vidéo rétro
1237,img_1237,1320,1301,CD,Consoles rétro
1238,img_1238,50,2583,Jouets & Jeux,Articles sport
1239,img_1239,2060,2280,Articles soins,Jeux vidéo
1241,img_1241,10,2522,Livres,Équipement bébé
1243,img_1243,2583,2060,Articles sport,Articles soins
1247,img_1247,40,10,DVD & Films,Livres
1250,img_1250,1302,1320,Jeux vidéo rétro,CD
1251,img_1251,1320,2583,CD,Articles sport
1252,img_1252,1280,2060,Accessoires téléphones,Articles soins
1255,img_1255,2060,2583,Articles soins,Articles sport
1256,img_1256,40,2403,DVD & Films,Livres en langues étrangères
1257,img_1257,1940,1280,Instrument musique,Accessoires téléphones
1259,img_1259,2280,2522,Jeux vidéo,Équipement bébé
1265,img_1265,1281,1160,Téléphonie fixe,Électroménager
1270,img_1270,1280,1281,Accessoires téléphones,Téléphonie fixe
1271,img_1271,1560,1320,Photos,CD
1276,img_1276,2585,1320,Sports & Loisirs,CD
1278,img_1278,1302,1301,Jeux vidéo rétro,Consoles rétro
1280,img_1280,1560,1920,Photos,Musique amplifiée
1281,img_1281,1302,40,Jeux vidéo rétro,DVD & Films
1287,img_1287,10,2522,Livres,Équipement bébé
1288,img_1288,1302,50,Jeux vidéo rétro,Jouets & Jeux
1289,img_1289,1302,2522,Jeux vidéo rétro,Équipement bébé
1291,img_1291,2585,2583,Sports & Loisirs,Articles sport
1292,img_1292,1320,2583,CD,Articles sport
1300,img_1300,1302,1140,Jeux vidéo rétro,TV
1308,img_1308,2060,1920,Articles soins,Musique amplifiée
1310,img_1310,1302,1940,Jeux vidéo rétro,Instrument musique
1312,img_1312,1300,1280,Jeux vidéo ancien,Accessoires téléphones
1313,img_1313,2583,2585,Articles sport,Sports & Loisirs
1314,img_1314,2583,1280,Articles sport,Accessoires téléphones
1315,img_1315,1320,2583,CD,Articles sport
1317,img_1317,1140,1280,TV,Accessoires téléphones
1318,img_1318,2403,2462,Livres en langues étrangères,Fournitures bureau
1320,img_1320,2585,1302,Sports & Loisirs,Jeux vidéo rétro
1321,img_1321,2582,2060,Matériel & accessoires,Articles soins
1323,img_1323,60,50,Consoles,Jouets & Jeux
1337,img_1337,2585,2583,Sports & Loisirs,Articles sport
1340,img_1340,1940,1280,Instrument musique,Accessoires téléphones
1343,img_1343,1300,1280,Jeux vidéo ancien,Accessoires téléphones
