sample_id,true_label,true_class_name,text_prediction,text_class_name,text_confidence,text_correct,image_prediction,image_class_name,image_confidence,image_correct,fused_prediction,fused_class_name,fused_confidence,fused_correct,fusion_strategy,agreement_text_image,best_individual,fusion_improved
14,2280,Jeux vidéo,10,Livres,0.31592207014210477,False,2280,Jeux vidéo,0.5600324,True,18,Unknown_18,0.3985833461594251,False,weighted,False,image,False
15,1560,Photos,1560,Photos,0.7915280724588862,True,1281,Téléphonie fixe,0.3457069,False,13,Unknown_13,0.4956112017496723,False,weighted,False,text,False
16,2522,Équipement bébé,2522,Équipement bébé,0.9914919218713036,True,2522,Équipement bébé,0.996896,True,21,Unknown_21,0.9936535645302529,False,weighted,True,image,False
17,1920,Musique amplifiée,1920,Musique amplifiée,0.9771749153692874,True,2060,Articles soins,0.18894131,False,14,Unknown_14,0.631000527737102,False,weighted,False,text,False
18,2280,Jeux vidéo,2280,Jeux vidéo,0.9716012156154759,True,2280,Jeux vidéo,0.99748766,True,18,Unknown_18,0.9819558010188368,False,weighted,True,image,False
19,2585,Sports & Loisirs,2585,Sports & Loisirs,0.8307669494132047,True,2583,Articles sport,0.38584358,False,24,Unknown_24,0.5541503352570442,False,weighted,False,text,False
20,1280,Accessoires téléphones,1280,Accessoires téléphones,0.6725505503994221,True,2060,Articles soins,0.8403604,False,16,Unknown_16,0.4252217448725292,False,weighted,False,image,False
21,2280,Jeux vidéo,2280,Jeux vidéo,0.7346171855941135,True,2280,Jeux vidéo,0.95025396,True,18,Unknown_18,0.8208719027051161,False,weighted,True,image,False
22,1280,Accessoires téléphones,1280,Accessoires téléphones,0.27962024984379436,True,1140,TV,0.35809228,False,7,Unknown_7,0.1791163071117457,False,weighted,False,image,False
23,1281,Téléphonie fixe,1281,Téléphonie fixe,0.37951017640992224,True,2403,Livres en langues étrangères,0.23292628,False,8,Unknown_8,0.3014091554793505,False,weighted,False,text,False
24,1940,Instrument musique,1940,Instrument musique,0.9992435382506412,True,2403,Livres en langues étrangères,0.23058955,False,15,Unknown_15,0.615713778537581,False,weighted,False,text,False
25,1560,Photos,1560,Photos,0.9832424422199936,True,1560,Photos,0.6984066,True,13,Unknown_13,0.8693081140575057,False,weighted,True,text,False
26,2403,Livres en langues étrangères,10,Livres,0.28590016415549563,False,2705,Accessoires console,0.38171628,False,18,Unknown_18,0.23806271911164073,False,weighted,False,image,False
27,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.7925381630339747,True,1300,Jeux vidéo ancien,0.6897435,True,9,Unknown_9,0.7514203113125876,False,weighted,True,text,False
28,2280,Jeux vidéo,2403,Livres en langues étrangères,0.8775661219843093,False,2403,Livres en langues étrangères,0.98145056,False,19,Unknown_19,0.9191199141554751,False,weighted,True,image,False
29,2583,Articles sport,2583,Articles sport,0.9999994012815732,True,1140,TV,0.23812588,False,23,Unknown_23,0.6114922423647629,False,weighted,False,text,False
30,2462,Fournitures bureau,50,Jouets & Jeux,0.9532539573571358,False,2403,Livres en langues étrangères,0.3029002,False,2,Unknown_2,0.5754519829011723,False,weighted,False,text,False
31,1280,Accessoires téléphones,1280,Accessoires téléphones,0.4018741280909492,True,1140,TV,0.30101046,False,7,Unknown_7,0.3053913894937106,False,weighted,False,text,False
32,40,DVD & Films,40,DVD & Films,0.9866697672935444,True,40,DVD & Films,0.84412766,True,1,Unknown_1,0.9296529343087743,False,weighted,True,text,False
33,2280,Jeux vidéo,10,Livres,0.28993367692287225,False,40,DVD & Films,0.51092154,False,0,Unknown_0,0.2385956096080271,False,weighted,False,image,False
34,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.6867162098173459,True,1300,Jeux vidéo ancien,0.32332358,True,9,Unknown_9,0.5413591539671516,False,weighted,True,text,False
35,1160,Électroménager,1160,Électroménager,0.6887439619716814,True,1160,Électroménager,0.99385613,True,5,Unknown_5,0.8107888240347392,False,weighted,True,image,False
36,1160,Électroménager,1160,Électroménager,0.9959628170705332,True,2280,Jeux vidéo,0.39170033,False,5,Unknown_5,0.7283011517510708,False,weighted,False,text,False
37,1320,CD,1320,CD,0.9852258446957034,True,1320,CD,0.44207698,True,12,Unknown_12,0.7679663052049495,False,weighted,True,text,False
38,1920,Musique amplifiée,1920,Musique amplifiée,0.9701790625071425,True,2060,Articles soins,0.5993542,False,14,Unknown_14,0.6034784277061164,False,weighted,False,text,False
39,2060,Articles soins,2060,Articles soins,0.9555614259501966,True,1281,Téléphonie fixe,0.38708097,False,16,Unknown_16,0.614816972116272,False,weighted,False,text,False
40,1140,TV,1140,TV,0.7061733239464844,True,40,DVD & Films,0.75640476,False,4,Unknown_4,0.4416234546794226,False,weighted,False,image,False
41,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9881785615258494,True,1300,Jeux vidéo ancien,0.96179736,True,9,Unknown_9,0.9776260914786504,False,weighted,True,text,False
42,2705,Accessoires console,2705,Accessoires console,0.8360396477997663,True,2705,Accessoires console,0.6216605,True,25,Unknown_25,0.7502879740846372,False,weighted,True,text,False
43,1140,TV,1140,TV,0.487680516102054,True,1140,TV,0.65694165,True,4,Unknown_4,0.5553849825013508,False,weighted,True,image,False
44,2582,Matériel & accessoires,2582,Matériel & accessoires,0.929332075406607,True,2582,Matériel & accessoires,0.94048613,True,22,Unknown_22,0.9337936925229406,False,weighted,True,image,False
45,50,Jouets & Jeux,50,Jouets & Jeux,0.9859167652644952,True,50,Jouets & Jeux,0.9757623,True,2,Unknown_2,0.9818549822162532,False,weighted,True,text,False
46,1140,TV,1140,TV,0.8918004264112026,True,2462,Fournitures bureau,0.43418154,False,4,Unknown_4,0.5653050149783916,False,weighted,False,text,False
47,2583,Articles sport,1302,Jeux vidéo rétro,0.2630947554920962,False,50,Jouets & Jeux,0.6518834,False,2,Unknown_2,0.3299758459059703,False,weighted,False,image,False
48,1940,Instrument musique,1940,Instrument musique,0.9996747273674439,True,1940,Instrument musique,0.99558806,True,15,Unknown_15,0.998040068058421,False,weighted,True,text,False
49,1280,Accessoires téléphones,1280,Accessoires téléphones,0.9561255371224633,True,1280,Accessoires téléphones,0.6670602,True,7,Unknown_7,0.8404994187147469,False,weighted,True,text,False
50,40,DVD & Films,40,DVD & Films,0.9914161985375741,True,40,DVD & Films,0.9851413,True,1,Unknown_1,0.9889062479292309,False,weighted,True,text,False
51,2705,Accessoires console,2705,Accessoires console,0.992828548150407,True,2705,Accessoires console,0.9981382,True,25,Unknown_25,0.9949524046165625,False,weighted,True,image,False
52,1560,Photos,1560,Photos,0.6741499246681184,True,1320,CD,0.2930201,False,13,Unknown_13,0.418492555485633,False,weighted,False,text,False
53,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.9837070211633747,True,2403,Livres en langues étrangères,0.9544821,True,19,Unknown_19,0.9720170560398522,False,weighted,True,text,False
54,2582,Matériel & accessoires,2582,Matériel & accessoires,0.9193855303086756,True,2582,Matériel & accessoires,0.56682754,True,22,Unknown_22,0.7783623354171466,False,weighted,True,text,False
55,1160,Électroménager,1160,Électroménager,0.8066297757128703,True,60,Consoles,0.40954462,False,5,Unknown_5,0.5348717197775738,False,weighted,False,text,False
56,1302,Jeux vidéo rétro,1302,Jeux vidéo rétro,0.8691073818204581,True,2582,Matériel & accessoires,0.6357911,False,11,Unknown_11,0.5556462139307129,False,weighted,False,text,False
57,60,Consoles,60,Consoles,0.9992256068387113,True,60,Consoles,0.9319235,True,3,Unknown_3,0.9723047794817973,False,weighted,True,text,False
58,2905,Instruments musique,2905,Instruments musique,0.9844635328863944,True,2905,Instruments musique,0.99793565,True,26,Unknown_26,0.9898523927459052,False,weighted,True,image,False
59,40,DVD & Films,40,DVD & Films,0.7762368813923917,True,40,DVD & Films,0.5913958,True,1,Unknown_1,0.7023004469735575,False,weighted,True,text,False
60,2583,Articles sport,2705,Accessoires console,0.4999476160312015,False,2583,Articles sport,0.99891543,True,23,Unknown_23,0.6995347431721877,False,weighted,False,image,False
61,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.9953457762122673,True,2060,Articles soins,0.2518769,False,19,Unknown_19,0.612589886930318,False,weighted,False,text,False
62,1281,Téléphonie fixe,1281,Téléphonie fixe,0.5728110421991701,True,1281,Téléphonie fixe,0.4788162,True,8,Unknown_8,0.5352131127891753,False,weighted,True,text,False
63,1560,Photos,1560,Photos,0.8037228151554667,True,2582,Matériel & accessoires,0.33342636,False,13,Unknown_13,0.5631810882326843,False,weighted,False,text,False
64,2583,Articles sport,2583,Articles sport,0.998556409180365,True,2583,Articles sport,0.3015828,True,23,Unknown_23,0.7197669708133948,False,weighted,True,text,False
65,2583,Articles sport,2583,Articles sport,0.9928591948362266,True,2583,Articles sport,0.76921993,True,23,Unknown_23,0.9034034849174067,False,weighted,True,text,False
66,1920,Musique amplifiée,1920,Musique amplifiée,0.9651406298861519,True,1920,Musique amplifiée,0.9649617,True,14,Unknown_14,0.9650690669289598,False,weighted,True,text,False
67,2060,Articles soins,2060,Articles soins,0.9846872243377077,True,2060,Articles soins,0.94129425,True,16,Unknown_16,0.9673300476725404,False,weighted,True,text,False
68,2585,Sports & Loisirs,2060,Articles soins,0.41728591610807664,False,2060,Articles soins,0.633404,False,16,Unknown_16,0.4377253216007996,False,weighted,True,image,False
69,1320,CD,1320,CD,0.9921269879268503,True,1320,CD,0.73503184,True,12,Unknown_12,0.8892889479116735,False,weighted,True,text,False
70,1920,Musique amplifiée,2060,Articles soins,0.9525809108288111,False,1920,Musique amplifiée,0.99555886,True,16,Unknown_16,0.5727312456076457,False,weighted,False,image,False
71,2583,Articles sport,2583,Articles sport,0.9984492485707157,True,2060,Articles soins,0.6280744,False,23,Unknown_23,0.6036263656793626,False,weighted,False,text,False
72,1920,Musique amplifiée,1920,Musique amplifiée,0.9515041872064369,True,1280,Accessoires téléphones,0.6805551,False,14,Unknown_14,0.5725390884641616,False,weighted,False,text,False
73,2705,Accessoires console,2705,Accessoires console,0.9455255328659252,True,2705,Accessoires console,0.9705809,True,25,Unknown_25,0.9555476700689813,False,weighted,True,image,False
74,2280,Jeux vidéo,2705,Accessoires console,0.8214810500967562,False,10,Livres,0.43454775,False,25,Unknown_25,0.5271233102934396,False,weighted,False,text,False
75,1320,CD,1320,CD,0.9290476651951957,True,1320,CD,0.7715112,True,12,Unknown_12,0.866033077953177,False,weighted,True,text,False
76,2583,Articles sport,2583,Articles sport,0.9991204072970948,True,2583,Articles sport,0.99317545,True,23,Unknown_23,0.9967424172126532,False,weighted,True,text,False
77,2583,Articles sport,2583,Articles sport,0.7813953347746123,True,2585,Sports & Loisirs,0.41521493,False,23,Unknown_23,0.4889466811116689,False,weighted,False,text,False
78,2522,Équipement bébé,2522,Équipement bébé,0.9992853859114524,True,2522,Équipement bébé,0.5513832,True,21,Unknown_21,0.8201245104699061,False,weighted,True,text,False
79,40,DVD & Films,2462,Fournitures bureau,0.9056631474008775,False,40,DVD & Films,0.9097703,True,20,Unknown_20,0.558953309330977,False,weighted,False,image,False
80,2583,Articles sport,2583,Articles sport,0.9978218813806177,True,2583,Articles sport,0.6378258,True,23,Unknown_23,0.8538234496158004,False,weighted,True,text,False
81,10,Livres,10,Livres,0.27883200589325174,True,2280,Jeux vidéo,0.6596254,False,18,Unknown_18,0.3050604886697767,False,weighted,False,image,False
82,1560,Photos,1560,Photos,0.9798855678461684,True,1560,Photos,0.80152583,True,13,Unknown_13,0.9085416851176437,False,weighted,True,text,False
83,2280,Jeux vidéo,2280,Jeux vidéo,0.4316272591583068,True,2280,Jeux vidéo,0.62224156,True,18,Unknown_18,0.5078729841132243,False,weighted,True,image,False
84,2522,Équipement bébé,2522,Équipement bébé,0.9792656926316176,True,1920,Musique amplifiée,0.27987367,False,21,Unknown_21,0.6185602532626482,False,weighted,False,text,False
85,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9716794707570332,True,1300,Jeux vidéo ancien,0.9761487,True,9,Unknown_9,0.973467190158001,False,weighted,True,image,False
86,1920,Musique amplifiée,1920,Musique amplifiée,0.9632036926282835,True,1920,Musique amplifiée,0.99129945,True,14,Unknown_14,0.9744419957359667,False,weighted,True,image,False
87,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9999720184001402,True,50,Jouets & Jeux,0.18896317,False,9,Unknown_9,0.6132765090014384,False,weighted,False,text,False
88,1160,Électroménager,1160,Électroménager,0.999760716339114,True,1160,Électroménager,0.2562429,True,5,Unknown_5,0.7023535902381913,False,weighted,True,text,False
89,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.7979402233121503,True,2280,Jeux vidéo,0.7103371,False,19,Unknown_19,0.5905840494607513,False,weighted,False,text,False
90,2403,Livres en langues étrangères,10,Livres,0.412421710755701,False,2403,Livres en langues étrangères,0.94206494,True,19,Unknown_19,0.5665583134152432,False,weighted,False,image,False
91,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.8982617154258449,False,1300,Jeux vidéo ancien,0.9878726,False,9,Unknown_9,0.9341060813986038,False,weighted,True,image,False
92,2583,Articles sport,2583,Articles sport,0.8182855875856542,True,2583,Articles sport,0.7929039,True,23,Unknown_23,0.8081329126099862,False,weighted,True,text,False
93,1560,Photos,1560,Photos,0.5602243433311905,True,1302,Jeux vidéo rétro,0.2977409,False,13,Unknown_13,0.44565238147469316,False,weighted,False,text,False
94,1301,Consoles rétro,1301,Consoles rétro,0.9994811113056655,True,2585,Sports & Loisirs,0.64091986,False,10,Livres,0.6169903752432534,False,weighted,False,text,False
95,2462,Fournitures bureau,2462,Fournitures bureau,0.9787600705677432,True,2462,Fournitures bureau,0.5967477,True,20,Unknown_20,0.8259551209005214,False,weighted,True,text,False
96,1560,Photos,1560,Photos,0.6662640795860162,True,1560,Photos,0.96822095,True,13,Unknown_13,0.787046839341728,False,weighted,True,image,False
97,2522,Équipement bébé,2522,Équipement bébé,0.996661963630075,True,2522,Équipement bébé,0.8853884,True,21,Unknown_21,0.9521525398304193,False,weighted,True,text,False
98,1301,Consoles rétro,1301,Consoles rétro,0.9991018957040771,True,1301,Consoles rétro,0.81313825,True,10,Livres,0.9247164419974127,False,weighted,True,text,False
99,2582,Matériel & accessoires,2582,Matériel & accessoires,0.9088361286538061,True,2582,Matériel & accessoires,0.40492997,True,22,Unknown_22,0.7072736634860763,False,weighted,True,text,False
100,2522,Équipement bébé,2522,Équipement bébé,0.996884276237051,True,2522,Équipement bébé,0.81094843,True,21,Unknown_21,0.9225099502599002,False,weighted,True,text,False
101,1320,CD,1320,CD,0.5462931593185013,True,2582,Matériel & accessoires,0.3649415,False,12,Unknown_12,0.3340040515132454,False,weighted,False,text,False
102,1280,Accessoires téléphones,2220,Puériculture,0.8771898855559555,False,1281,Téléphonie fixe,0.38045344,False,17,Unknown_17,0.5272002672443369,False,weighted,False,text,False
103,1320,CD,1920,Musique amplifiée,0.9702003128759309,False,2522,Équipement bébé,0.22827022,False,14,Unknown_14,0.6544058026333001,False,weighted,False,text,False
104,1920,Musique amplifiée,1920,Musique amplifiée,0.974272627251416,True,1920,Musique amplifiée,0.9980281,True,14,Unknown_14,0.9837748340470013,False,weighted,True,image,False
105,50,Jouets & Jeux,50,Jouets & Jeux,0.9966099322929475,True,50,Jouets & Jeux,0.47070205,True,2,Unknown_2,0.7862467802223261,False,weighted,True,text,False
106,2583,Articles sport,2583,Articles sport,0.9993412394820776,True,1160,Électroménager,0.2646802,False,23,Unknown_23,0.6031666457820163,False,weighted,False,text,False
107,1160,Électroménager,1160,Électroménager,0.9957314368946726,True,1160,Électroménager,0.9971976,True,5,Unknown_5,0.9963179133452996,False,weighted,True,image,False
108,1940,Instrument musique,1940,Instrument musique,0.9999087742292757,True,1940,Instrument musique,0.78055185,True,15,Unknown_15,0.9121660167767927,False,weighted,True,text,False
109,2905,Instruments musique,1280,Accessoires téléphones,0.24816906212670722,False,2905,Instruments musique,0.9003841,True,26,Unknown_26,0.3675784648112749,False,weighted,False,image,False
110,1302,Jeux vidéo rétro,1302,Jeux vidéo rétro,0.9993898860959987,True,1302,Jeux vidéo rétro,0.44980758,True,11,Unknown_11,0.7795569743125903,False,weighted,True,text,False
111,2280,Jeux vidéo,2522,Équipement bébé,0.7286415646668291,False,2462,Fournitures bureau,0.34322295,False,21,Unknown_21,0.44383517430400937,False,weighted,False,text,False
112,1281,Téléphonie fixe,1281,Téléphonie fixe,0.9742029116137041,True,1281,Téléphonie fixe,0.25485858,True,8,Unknown_8,0.686465180252982,False,weighted,True,text,False
113,2583,Articles sport,2583,Articles sport,0.9999960347458537,True,2583,Articles sport,0.8966346,True,23,Unknown_23,0.9586514642503747,False,weighted,True,text,False
114,1281,Téléphonie fixe,1281,Téléphonie fixe,0.8550617517299346,True,2403,Livres en langues étrangères,0.48369655,False,8,Unknown_8,0.6198634085814292,False,weighted,False,text,False
115,2220,Puériculture,2220,Puériculture,0.999961047774647,True,2220,Puériculture,0.9963965,True,17,Unknown_17,0.9985352155006494,False,weighted,True,text,False
116,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9883651520575103,True,1300,Jeux vidéo ancien,0.9804654,True,9,Unknown_9,0.9852052560904632,False,weighted,True,text,False
117,1140,TV,1140,TV,0.9224386504131061,True,1140,TV,0.9492974,True,4,Unknown_4,0.9331821793816985,False,weighted,True,image,False
118,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9742199917018647,True,50,Jouets & Jeux,0.73417526,False,9,Unknown_9,0.6164350160586973,False,weighted,False,text,False
119,2705,Accessoires console,10,Livres,0.40261513830865275,False,10,Livres,0.95111394,False,0,Unknown_0,0.6220146527388385,False,weighted,True,image,False
120,2522,Équipement bébé,2522,Équipement bébé,0.9587727153090262,True,2220,Puériculture,0.49355206,False,21,Unknown_21,0.5784575242851003,False,weighted,False,text,False
121,1320,CD,1320,CD,0.9963924188334056,True,1320,CD,0.85993487,True,12,Unknown_12,0.9418094157527869,False,weighted,True,text,False
122,2583,Articles sport,2583,Articles sport,0.9999712398761134,True,2583,Articles sport,0.954889,True,23,Unknown_23,0.9819383377500546,False,weighted,True,text,False
123,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.8034408883113598,True,1300,Jeux vidéo ancien,0.97654825,True,9,Unknown_9,0.8726838407432398,False,weighted,True,image,False
124,2583,Articles sport,2583,Articles sport,0.998813857681588,True,2583,Articles sport,0.99811053,True,23,Unknown_23,0.9985325336736653,False,weighted,True,text,False
125,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.873368135658979,True,1300,Jeux vidéo ancien,0.32358956,True,9,Unknown_9,0.6534567037630555,False,weighted,True,text,False
126,1140,TV,1140,TV,0.7574797688283272,True,1140,TV,0.9886953,True,4,Unknown_4,0.8499659906838981,False,weighted,True,image,False
127,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9997523615173249,True,1300,Jeux vidéo ancien,0.8143517,True,9,Unknown_9,0.9255920821077673,False,weighted,True,text,False
128,1160,Électroménager,1160,Électroménager,0.9943867668963113,True,1160,Électroménager,0.8904374,True,5,Unknown_5,0.952807035771408,False,weighted,True,text,False
129,2280,Jeux vidéo,2280,Jeux vidéo,0.8546093519453112,True,2280,Jeux vidéo,0.9997323,True,18,Unknown_18,0.9126585373833122,False,weighted,True,image,False
130,1160,Électroménager,1160,Électroménager,0.8507014988116216,True,1160,Électroménager,0.9036854,True,5,Unknown_5,0.8718950556666727,False,weighted,True,image,False
131,2583,Articles sport,2583,Articles sport,0.9958034433752713,True,2583,Articles sport,0.9863007,True,23,Unknown_23,0.9920023487705241,False,weighted,True,text,False
132,1560,Photos,1560,Photos,0.963021503471862,True,2060,Articles soins,0.441256,False,13,Unknown_13,0.5922781894108836,False,weighted,False,text,False
133,1920,Musique amplifiée,1920,Musique amplifiée,0.9977543528526434,True,1920,Musique amplifiée,0.99098456,True,14,Unknown_14,0.9950464472561722,False,weighted,True,text,False
134,2060,Articles soins,2060,Articles soins,0.9422716690292485,True,2060,Articles soins,0.5812349,True,16,Unknown_16,0.7978569533342438,False,weighted,True,text,False
135,2585,Sports & Loisirs,2585,Sports & Loisirs,0.996377639560536,True,2522,Équipement bébé,0.81147075,False,24,Unknown_24,0.6227160584709855,False,weighted,False,text,False
136,1280,Accessoires téléphones,1140,TV,0.31810037587260737,False,1140,TV,0.46641862,False,4,Unknown_4,0.37742768105373103,False,weighted,True,image,False
137,1140,TV,1140,TV,0.7845517235317587,True,1140,TV,0.41187277,True,4,Unknown_4,0.6354801498245453,False,weighted,True,text,False
138,1301,Consoles rétro,1301,Consoles rétro,0.9998946601982002,True,1301,Consoles rétro,0.9944318,True,10,Livres,0.9977095255157401,False,weighted,True,text,False
139,60,Consoles,60,Consoles,0.9998827643215786,True,60,Consoles,0.97436947,True,3,Unknown_3,0.9896774570357877,False,weighted,True,text,False
140,2280,Jeux vidéo,2280,Jeux vidéo,0.9885826510473478,True,2280,Jeux vidéo,0.8788414,True,18,Unknown_18,0.9446861626079314,False,weighted,True,text,False
141,2280,Jeux vidéo,10,Livres,0.8021558305889938,False,2403,Livres en langues étrangères,0.34742948,False,0,Unknown_0,0.4968853302312239,False,weighted,False,text,False
142,60,Consoles,60,Consoles,0.9329963212357242,True,40,DVD & Films,0.6410665,False,3,Unknown_3,0.5649404656601714,False,weighted,False,text,False
143,1560,Photos,2060,Articles soins,0.3749308972262868,False,1320,CD,0.8159446,False,12,Unknown_12,0.3511201923485155,False,weighted,False,image,False
144,2280,Jeux vidéo,2280,Jeux vidéo,0.7164889615816129,True,10,Livres,0.66334736,False,18,Unknown_18,0.557766127112046,False,weighted,False,text,False
145,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.4136222274975093,False,1300,Jeux vidéo ancien,0.88451535,False,9,Unknown_9,0.6019794745371408,False,weighted,True,image,False
146,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.986860029286814,True,1300,Jeux vidéo ancien,0.85665697,True,9,Unknown_9,0.9347787990490629,False,weighted,True,text,False
147,1160,Électroménager,1160,Électroménager,0.9998246962995931,True,1160,Électroménager,0.9724348,True,5,Unknown_5,0.9888687393171551,False,weighted,True,text,False
148,1140,TV,1140,TV,0.8427894584143462,True,50,Jouets & Jeux,0.43288714,False,4,Unknown_4,0.5074474443173738,False,weighted,False,text,False
149,2582,Matériel & accessoires,2582,Matériel & accessoires,0.9798088868053199,True,2582,Matériel & accessoires,0.9901911,True,22,Unknown_22,0.9839617728943492,False,weighted,True,image,False
150,1940,Instrument musique,1940,Instrument musique,0.9988300027055602,True,1940,Instrument musique,0.9068395,True,15,Unknown_15,0.9620338095189965,False,weighted,True,text,False
151,2280,Jeux vidéo,2280,Jeux vidéo,0.9423598331838686,True,2280,Jeux vidéo,0.99482155,True,18,Unknown_18,0.9633445252555513,False,weighted,True,image,False
152,1920,Musique amplifiée,1920,Musique amplifiée,0.9804495014313273,True,1920,Musique amplifiée,0.9945686,True,14,Unknown_14,0.9860971473195203,False,weighted,True,image,False
153,2905,Instruments musique,2905,Instruments musique,0.9999999860605235,True,2905,Instruments musique,0.9986389,True,26,Unknown_26,0.9994555687714002,False,weighted,True,text,False
154,2220,Puériculture,2220,Puériculture,0.9987568161375475,True,1320,CD,0.2522879,False,17,Unknown_17,0.6426811360709161,False,weighted,False,text,False
155,1560,Photos,1560,Photos,0.9433346630249265,True,1560,Photos,0.9536508,True,13,Unknown_13,0.9474611068435814,False,weighted,True,image,False
156,2582,Matériel & accessoires,2582,Matériel & accessoires,0.43106428972335825,True,1280,Accessoires téléphones,0.30245706,False,17,Unknown_17,0.35750976766021353,False,weighted,False,text,False
157,2522,Équipement bébé,2522,Équipement bébé,0.9883732596163622,True,2522,Équipement bébé,0.881759,True,21,Unknown_21,0.9457275568917198,False,weighted,True,text,False
158,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9999963715995844,True,1280,Accessoires téléphones,0.95742387,False,9,Unknown_9,0.6153130501702724,False,weighted,False,text,False
159,1920,Musique amplifiée,1920,Musique amplifiée,0.962698738874336,True,2060,Articles soins,0.5276303,False,14,Unknown_14,0.7111292070754408,False,weighted,False,text,False
160,2220,Puériculture,2220,Puériculture,0.7202083671664461,True,1302,Jeux vidéo rétro,0.6477776,False,17,Unknown_17,0.43922504223214176,False,weighted,False,text,False
161,2280,Jeux vidéo,2280,Jeux vidéo,0.9314173186634106,True,2280,Jeux vidéo,0.9989994,True,18,Unknown_18,0.9584501519688441,False,weighted,True,image,False
162,1302,Jeux vidéo rétro,1302,Jeux vidéo rétro,0.9957764417026825,True,1302,Jeux vidéo rétro,0.97753805,True,11,Unknown_11,0.988481096630954,False,weighted,True,text,False
163,2060,Articles soins,2582,Matériel & accessoires,0.9328547984380986,False,2060,Articles soins,0.2797381,True,22,Unknown_22,0.6668231037270704,False,weighted,False,text,False
164,1140,TV,1280,Accessoires téléphones,0.3695674020320078,False,1140,TV,0.603224,True,4,Unknown_4,0.24715921883603295,False,weighted,False,image,False
165,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9100918181412353,True,1300,Jeux vidéo ancien,0.9730656,True,9,Unknown_9,0.935281348685797,False,weighted,True,image,False
166,2522,Équipement bébé,2522,Équipement bébé,0.9994608017645766,True,2522,Équipement bébé,0.9391252,True,21,Unknown_21,0.9753265591169887,False,weighted,True,text,False
