sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,error_type,text_sample
74,2280,Jeux vidéo,2705,Accessoires console,0.8214810500967562,high_confidence,La Hulotte N° 9 - Comment Bague-T-On Les Oiseaux ? Un Lerot En Cour D'assises Les Malheures De La Hulotte La Nature En Février Les Nouveaux C.P.N Les 30 Premiers Gagnants Du Voyage Au ... 
79,40,DVD & Films,2462,Fournitures bureau,0.9056631474008775,high_confidence,Fifa 16 - Xbox 360 FIFA 16 - Xbox 360
90,2403,Livres en langues étrangères,10,Livres,0.412421710755701,low_confidence,Un Ennemi D'enfance Claudine Jouvet Collection Nous Deux N°51 
91,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.8982617154258449,high_confidence,Handheld Extension Rod Selfie Bâton Avec 1/4 Adaptateur Vis Pour Dji Osmo Pocket Extension de poche portable Rod selfie Bâton Avec 1/4 Vis Adaptateur pour DJI Osmo Pocket Caractéristiques: Hautement r...
102,1280,Accessoires téléphones,2220,Puériculture,0.8771898855559555,high_confidence,Ok550 Tamagotchi Animal Version Couleur Bleu Oeuf Du Micro-Chatpet Portable Virtual Pet Électronique Game Machine Kidshd Écran Couleur Kid Cadeau @Dfgjklni131 Pet Virtual Pet électronique de poche Gam...
103,1320,CD,1920,Musique amplifiée,0.9702003128759309,high_confidence,Cot/Bed Duvet Cover &amp; Pc - Bird Emb Pink - Ensemble couette et Taie d&#39;oreiller - Oiseaux brodés Ensemble couette et Taie d&#39;oreiller - Oiseaux brodés - Lavable en machine à 40 ° c.- 100% Co...
109,2905,Instruments musique,1280,Accessoires téléphones,0.24816906212670722,low_confidence,Delicious Emily's New Beginning - Jeu En Téléchargement <p>Cela signifie que la mère Emily a un peu plus de temps pour elle-même. Puis elle peut enfin continuer avec son restaurant! Pouvez-vous aider ...
111,2280,Jeux vidéo,2522,Équipement bébé,0.7286415646668291,high_confidence,Rêves Voilés * 1986 * Daniel Fayolle 80 Pages Hardcover <br /><p></p> <p>Rêves Voilés</p> <p>Daniel Fayolle</p> <p></p> <p>Collection Marine</p> <p>Snege Editions</p> <br /><p>Livre relié</p> <p>Couve...
119,2705,Accessoires console,10,Livres,0.40261513830865275,low_confidence,La Croix De Roses 
136,1280,Accessoires téléphones,1140,TV,0.31810037587260737,low_confidence,Nirvash Type Zero (Eureka Twin Sheet) 
141,2280,Jeux vidéo,10,Livres,0.8021558305889938,high_confidence,Collection  De Monsieur X /Restauration-Louis Philippe Et Second  Empire / 2007  
143,1560,Photos,2060,Articles soins,0.3749308972262868,low_confidence,Fua1997®Usb Chaud Bouteille Portable Alimentation Chauffe-Lait Voyage Extérieur Couverture Isolation USB chaud bouteille d&#39;alimentation portable Chauffe-lait extérieur Voyage couverture d&#39;isol...
145,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.4136222274975093,low_confidence,Team Redcat Waterproof Receiver Box Vehicle Redact Racing Waterproof Receiver Box Compatible with the TR-MT10E Durable quality design Replacement part.
163,2060,Articles soins,2582,Matériel & accessoires,0.9328547984380986,high_confidence,Lampadaire De Jardin E27 220 Cm Aluminium 3 Lanternes Blanc <p>Ce lampadaire de jardin à 3 lanternes convient à tous ceux qui souhaitent éclairer leur jardin avec un éclairage fonctionnel sûr et d&#39...
164,1140,TV,1280,Accessoires téléphones,0.3695674020320078,low_confidence,Les Castors En Chine - 7 Pièces 
167,10,Livres,2280,Jeux vidéo,0.28903795693797435,low_confidence,Spécial Fruits - Tartes Verrines Crumbles & Cie 
168,1560,Photos,2060,Articles soins,0.7360214072400724,high_confidence,Bière Metal Head Ceinture Party Bouteille Drôle Boucle De Ceinture Boucle Porte-Bière Fournitures De Cuisine 14871 Bière Metal Head Party ceinture bouteille drôle boucle de ceinture à boucle bière Hol...
169,2280,Jeux vidéo,2705,Accessoires console,0.5545579901937239,high_confidence,Reveillez Vous N° 20 Du 22/10/1982 - La Violence - Quelles En Sont Les Racines - La Recrudescence De La Violence - L'organisme Est-Il Responsable - Le Role De L'alimentation - Le Role De La Television...
173,2060,Articles soins,1140,TV,0.4017134781460197,low_confidence,Statuette Danseuse De Collection Aspect Bronze 10 Cm Statuette Danseuse de collection aspect bronze 10 cm  Hauteur : 10 cm  Polyrésine
174,2905,Instruments musique,1281,Téléphonie fixe,0.3253759645991635,low_confidence,Hearts Of Iron Iv: Man The Guns - Jeu En Téléchargement <p><strong>NOTE:</strong> Nécessite le jeu original <strong>Hearts of Iron IV</strong> pour fonctionner.</p><p>De la bataille de l&#39;Atlantiqu...
175,2060,Articles soins,1302,Jeux vidéo rétro,0.5435751625286036,high_confidence,Rockbros Cyclisme Sports De Plein Air Lunettes De Vélo Lunettes De Soleil 3 Polarisants Lentille RockBros Cyclisme Sports de plein air Lunettes vélo polarisants Lunettes de soleil 3 Objectif Détails s...
178,40,DVD & Films,2705,Accessoires console,0.6524003902571678,high_confidence,Virtua Fighter 4 Evolution Dix ans se sont écoulés depuis le premier Virtua Fighter sur Playstation qui à l'époque avait bouleversé le monde de la baston 2D et propulsé Sega en maître incontesté du ge...
180,2403,Livres en langues étrangères,2280,Jeux vidéo,0.3622989964809972,low_confidence,Rare Revue De Paris 1851 Théophile Gautier Les Aïssaoua Arsène Houssaye Maxime Du Camp Nerval Lamartine Théodore De Banville Honoré De Balzac La Filandière Conte Inédit Écrit Dans Le Goût De Perrault 
181,40,DVD & Films,10,Livres,0.2516951957745402,low_confidence,Ready Rumble Boxing 2 
189,2583,Articles sport,1302,Jeux vidéo rétro,0.945460897307616,high_confidence,Ballon de volley néoprène sport Ballon de volley néoprène sport   Ballon en néoprène doux au touché et très résistant - Design Sport
191,1302,Jeux vidéo rétro,10,Livres,0.20424970838602693,low_confidence,Nordy Arrow Pledge Scorpio ARROW PLEDGE Arc Scorpion - Charge ton arbalete vise et tire jusqu'a 25 metres ! 3 types de fleches : 1 furtive qui file tout droit 1 hurlante qui siffle et 1 fleche a vento...
194,40,DVD & Films,50,Jouets & Jeux,0.9045285107275741,high_confidence,Silicone Housse De Protection Pour Poké Ball Plus Pokemon Lets Go Pikachu Evoli Jeu Quickio Silicone Housse de protection pour Poké Ball plus Pokemon Lets Go Pikachu Evoli jeu Feature: La couverture d...
196,40,DVD & Films,50,Jouets & Jeux,0.9215232428895901,high_confidence,Hauteur Portable Réglable Lecture Support Pour Nin Console Switch Support Quickio &amp; Nbsp; Hauteur Portable Lecture réglable pour Nintendo Caractéristiques Commutateur de Support de la Console: spé...
198,2280,Jeux vidéo,40,DVD & Films,0.3920767661617835,low_confidence,Tam Terre Air Mer Nº 105 
200,1560,Photos,1320,CD,0.8629576816814717,high_confidence,3 En 1 Humidificateur Mignon Led Dog Humidificateur Dair Du Ventilateur Diffuseur Purificateur Atomiseur Sweetheart93 3 Dans 1 Purificateur dair Humidificateur USB Portable vapeur Veilleuse ventilateu...
204,1280,Accessoires téléphones,2585,Sports & Loisirs,0.20164875332370882,low_confidence,Téléscope Astrolon En Malette Idéal pour débuter ce téléscope astrolon et sa carte du ciel vous permettra d&#39;apprendre à connaître le ciel et à observer les astres comme la lune et les étoiles. Tél...
210,1160,Électroménager,10,Livres,0.20489310188057766,low_confidence,Calcification De Masse -M15- 018/269 
216,60,Consoles,40,DVD & Films,0.41285567374296217,low_confidence,Xbox 360 Elite (120 Go) Limited Edition Resident Evil 5 
227,2280,Jeux vidéo,2403,Livres en langues étrangères,0.31363169492569243,low_confidence,Phildar Décoration Et Loisirs  N° 6 : Phildar Décoration Et Loisirs 
232,1302,Jeux vidéo rétro,2585,Sports & Loisirs,0.4000412705412801,low_confidence,Pocket Outils Multifonctions Porte-Clé Tournevis Clips Clips Cheveux Épingle À Cheveux Stream Pocket Outils multifonctions porte-clés Tournevis Clip Clé pinces à cheveux épingle à cheveux BlackFeature...
235,1560,Photos,2583,Articles sport,0.8510763090081842,high_confidence,Bestway Lit Gonflable Cornerstone 2 Places Avec Pompe Intégrée 67600 <p>Le lit pneumatique Cornerstone de la marque Bestway est un matelas gonflable très épais pour 2 personnes avec une pompe à couran...
236,2462,Fournitures bureau,50,Jouets & Jeux,0.5146290890983891,high_confidence,Nintendo Mini Nes - Neuve - Ideal Cadeau Noel  
237,1300,Jeux vidéo ancien,1160,Électroménager,0.2749385762958476,low_confidence,Monsteur Truk Mta4 Thermique 
249,2705,Accessoires console,10,Livres,0.9089139398318422,high_confidence,Manuel De La Charrue 
250,1300,Jeux vidéo ancien,10,Livres,0.25134096535858863,low_confidence,Turbo-Rhino 1 - La Corne De Rhinoceros - Spirou Et Fantasio - 1/43-Atlas 
252,40,DVD & Films,1160,Électroménager,0.9935043661514835,high_confidence,Yu Gi Oh 5d's Wheelie Breaker 
257,2705,Accessoires console,10,Livres,0.12259935284607229,low_confidence,L'isle Haute: En Marge De Grand-Pré 
259,2585,Sports & Loisirs,10,Livres,0.35760452080656824,low_confidence,LANCE FRUITIERE 1.50M +RACCORD D10 
266,2280,Jeux vidéo,10,Livres,0.4247326613580518,low_confidence,La Vie Illustree N° 161 A Propos Du Conflit Franco-Turc Journal hebdommadaire. Sommaire : Le Conflit Franco-Turc. L'Armée turque. Le Sultan et roupes Impériales. Li-Hung-Chang par Chusseau-Flaviens. D...
276,1281,Téléphonie fixe,1280,Accessoires téléphones,0.5889614197366156,high_confidence,Tyrannosaurus Rex Dinosaur Soft Plastic Modèle Anniversaire Enfants Cadeau Enfants Jouet Enfants Glowing Walking Dinosaur interactif et éducatif Toy Feature Musique Pour les enfants: Matériel: plastiq...
281,1320,CD,2582,Matériel & accessoires,0.8399721602695864,high_confidence,Stefanplast Bac A Fleurs Rectangulaire Avec Treillis - Finition En Bois - 100x43xh35cm - 80l - Graphite Bac a fleurs rectangulaire avec treillis - Finition en bois - Dimensions : 100x43xH35cm - Capaci...
290,10,Livres,2705,Accessoires console,0.45268203028894266,low_confidence,Un Certain Monsieur Blot 
296,1280,Accessoires téléphones,1281,Téléphonie fixe,0.6628446119489941,high_confidence,Enfant Bébé Spirale Bedstroller Animal En Peluche Educational Modelling Enfant Bébé Spirale BedStroller Modeling animal éducatif jouet en peluche Caractéristiques: Conception de haute qualité et des m...
299,2705,Accessoires console,10,Livres,0.3176319224340427,low_confidence,Un Maître Spirituel Vous Guide 
300,1280,Accessoires téléphones,1302,Jeux vidéo rétro,0.8477209550741971,high_confidence,Enfants Jigsaw Puzzle Saisissant Main Board Dessin Bois Trois Dimensions Puzzle Jouet Hibou perfectionnement en éducationformation beau puzzle jouets d'enfants<li> don<li> caractéristiques:<li> 100% n...
310,1280,Accessoires téléphones,10,Livres,0.20685926090282428,low_confidence,Hape - E6033 - Circuit De Billes - Vortex 
318,2583,Articles sport,1560,Photos,0.33681872109461386,low_confidence,Coffre de filtration en bois - Ubbink Ce coffre en bois pratique esthétique et discret est idéal pour dissimuler vos installation lié à votre piscine comme le réseau de filtration. Il se ferme avec un...
323,2280,Jeux vidéo,2705,Accessoires console,0.365148946709488,low_confidence,Les Ptites Filles A La Vanille  N° 37 
333,2403,Livres en langues étrangères,2280,Jeux vidéo,0.5487999842586908,high_confidence,5 Ouvrages De La Revue Française De BridgePublication Mensuelle Année 1974 Janvier Février Mars Avril Juin-Juillet 
334,40,DVD & Films,10,Livres,0.499287548909444,low_confidence,Barbie Coeur De Princesse 
337,2403,Livres en langues étrangères,2705,Accessoires console,0.5077331516965932,high_confidence,Carte Des Belles Randonnées Au Pays De Neuchâtel.La Collégiale De Neuchatel 
338,1280,Accessoires téléphones,1302,Jeux vidéo rétro,0.8302420187852271,high_confidence,Adorable Ours Cartoon Parfumée Collection Lente Hausse Squeeze Balle Anti-Stress Toy Adorable ours Cartoon Scented lente Collection Rising squeeze balle anti-stress Description Toy: Matériel: Elastic ...
340,2582,Matériel & accessoires,1560,Photos,0.5410157954225379,high_confidence,Relaxdays 10021788_361 Set De 3 Etagères Murales Cubes Bois Mdf Bleu 10 X 40 X 20 Cm Set: 3 tablettes murales pour vos CD livres etc. - les cubes sont de 3 tailles différentes - étagère déco rectangul...
341,2280,Jeux vidéo,10,Livres,0.18060235193474636,low_confidence,Album Pour Mes Petits Amis N°6. Marche Des Petits Soldats De Plomb De Gabriel Pierne Op.14 - N°6 
352,1280,Accessoires téléphones,2060,Articles soins,0.5768724714992429,high_confidence,Luminosité Réglable Led Peinture Dessin Tablette Peinture Traçage Copie Copie Pad De Peinture Pour Cadeau Enfants-Noir Caractéristiques:<br />Tableau de traçage de dessin de boîte à lumière A4 LED vou...
355,2403,Livres en langues étrangères,1281,Téléphonie fixe,0.5763218224753913,high_confidence,Le Guide Marabout Du Scrabble Et 100 Jeux Pour Se Perfectionner Au Scrabble 
358,1160,Électroménager,40,DVD & Films,0.2674617912450018,low_confidence,Yugioh - Limiter Removal - Champion Pack 1 - Cp01-Fr007 
365,1180,Décoration,1280,Accessoires téléphones,0.6597076560450333,high_confidence,Masque Effrayant Zombie Latex Avec Cosplay Cheveux Casque Costume D'halloween@Hpp4894 Effrayant Zombie Latex Masque avec casque cheveux cosplay Halloween CostumeFeatures: Son design réaliste chair de ...
370,1320,CD,10,Livres,0.25857972803698936,low_confidence,Babybio Petits Pots Mirabelle Et Pomme 2x130g 
377,1560,Photos,2060,Articles soins,0.6606928568796115,high_confidence,Buyiesky®Bague Oreiller Vintage Jute Dentelle Maison Mariage Bague Oreiller Vintage Jute Dentelle Maison Mariage Description: Portez un bracelet sur le dos pour les porteurs de bague / garçons côté pa...
382,1160,Électroménager,1140,TV,0.7781486597746202,high_confidence,Harry Potter - L'arcade - 29/80 
389,2060,Articles soins,2403,Livres en langues étrangères,0.9068337411620745,high_confidence,Lot 3 Rouleaux Tissus Imprimés Noel (3x274 Metres ) 
392,2060,Articles soins,2522,Équipement bébé,0.9252193939606288,high_confidence,Vide-Poches Photo Holder Album Photo Mémoire Photos Album-Souvenir Photo Album 100 photos coffret de rangement famille de mariage Image bébé Film BookDescription: mignon pastoralisme DESIGNA bonne faç...
397,10,Livres,2280,Jeux vidéo,0.4612403400246532,low_confidence,La Responsabilite Des Gens De Justice / Revue Justice No 5 1997 
398,1280,Accessoires téléphones,1140,TV,0.4029931744111882,low_confidence,Pincez Couleur Crème Dinosaur Pain Parfumée Lente Hausse Jouets Téléphone Cadeaux Charme 15CM squeeze couleur crème Dinosaur pain parfumé lent Rising Toys Phone Charm Cadeaux Caractéristiques: Matérie...
408,1140,TV,10,Livres,0.39636629671106927,low_confidence,J Doll - Takeshita Street 
411,2403,Livres en langues étrangères,10,Livres,0.5162492690460992,high_confidence,Sant-Esteve Del Monestir Mon Village Avant 1914 
415,2403,Livres en langues étrangères,10,Livres,0.24340013371065142,low_confidence,Chouette Dictées Ce2 Et Cm1 - Sophie Valle  Hatier 2009 - Entrainement Corrigés Détachables 
416,2403,Livres en langues étrangères,2280,Jeux vidéo,0.4438990523439226,low_confidence,Les Fleurs Du Mal: Textes Des Éditions Originales - Documents - Variantes - Bibliographie. Oeuvres Complètes De Charles Baudelaire 1918 Nouvelle Revue Française Édition Critique Par Gautier & Dantec 
427,2403,Livres en langues étrangères,1300,Jeux vidéo ancien,0.6276517353077176,high_confidence,"Scrapbook Dessins Ferroviaires ""O"" Ou ""Ho""  "
433,2705,Accessoires console,10,Livres,0.36860141266099206,low_confidence,Fantastique Vallée Des Merveilles : Le Testament Du Mont Bégo 
454,1300,Jeux vidéo ancien,1140,TV,0.45112891841851993,low_confidence,American Diorama - 1/18 - Figurines - Wwii Usa Military Police 1 With Riffle - 77414-American Diorama 
459,1302,Jeux vidéo rétro,2583,Articles sport,0.994910433742974,high_confidence,Piscina À 3 Anelli 3 Rings Pool Petite piscine gonflable diamètre 100 cm par Marvel importe de chine par Mondo Spa
461,10,Livres,2705,Accessoires console,0.4297151655979592,low_confidence,La Chanson Du Vieux Marin 
465,1320,CD,1280,Accessoires téléphones,0.3015596541521496,low_confidence,Vêtements De Bébé Bébé Coton 3 Pièces Set Hat + T-Shirt + Pantalon 70 @Uapavmp110 Vêtements de bébé bébé coton 3 pièces Set Hat &#43; T-shirt &#43; pantalon REMARQUE: S&#39;il vous plaît comparer les ...
471,1280,Accessoires téléphones,2280,Jeux vidéo,0.27831128672343297,low_confidence,Easy Model 1:72 - Germany Eurocopter Ec-665 Tiger - Uht. 74/08. - Em37005 
476,2403,Livres en langues étrangères,10,Livres,0.6615103684704914,high_confidence,Journal D'un Vampire Tome 1 À 5 
482,2060,Articles soins,2585,Sports & Loisirs,0.5501898025445391,high_confidence,Crochet Kit Outils Tissage De La Laine À Tricoter Crochet Fleur Appliquer T Crocheting Decoration 223 Crochet Kit Outils tissage de la laine à tricoter Crochet Fleur Implanter Outils Crocheting Caract...
489,2403,Livres en langues étrangères,2280,Jeux vidéo,0.4224605948919757,low_confidence,Accident Challenger La Presse De L'époque 
497,2403,Livres en langues étrangères,2705,Accessoires console,0.6594014001950735,high_confidence,Au Pays Des Riezes Et Des Sarts N°89 
506,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.6994142358275276,high_confidence,Sunnylife Nd32 Filtre Objectif Filtre Solaire Capot Pour Dji Mavic Air Drone Accessoires Shen 1590 anodisé pleine gravure au laser de haute précision antidérapage design moletage fil précis l&#39;inst...
508,2403,Livres en langues étrangères,2280,Jeux vidéo,0.5514086002981945,high_confidence,L'age D'or De L'automobile Plaques Publicitaires N° 1 À 27 Et 29 
509,1280,Accessoires téléphones,2705,Accessoires console,0.5166797111676397,high_confidence,Dromadaire Violet Personnage Dessin Anime La peluche mesure dans les 18 cm. Elle appartient à un personnage de dessin animé mais j'ai oublié le nom. Je vous laisse regarder les photos. Je lui ai oté s...
510,2585,Sports & Loisirs,1560,Photos,0.819712153540402,high_confidence,Concepts de cuisine Cuisine fruits et légumes Brosse Veggie Scrubber Nettoyant pour nettoyeur 504 Concepts de cuisine Cuisine fruits et légumes Brosse Veggie Scrubber Description: 100% neuf avec Quant...
515,1160,Électroménager,1140,TV,0.4046627594683589,low_confidence,Jeton Leclerc Star Wars - Cosmic Shell -  2016 N°30 Speeder De Rey 
516,40,DVD & Films,1281,Téléphonie fixe,0.5600795480540898,high_confidence,Knight Rider-The Game 2 
518,1180,Décoration,10,Livres,0.21820873660474766,low_confidence,Armée Ultramarines De 2000 Points 
521,2522,Équipement bébé,1560,Photos,0.43125091724950027,low_confidence,"500 L Particules De Calage En Polystyrène Pelaspan - Couleur : blanc <br>- Forme en ""S""<br>- Chips de Rembourrage fabriqué en PSE 'polystyrène expansé<br>- Les particules comblent le vide dans les col..."
528,2522,Équipement bébé,2060,Articles soins,0.7443541656625304,high_confidence,Draeger Lot De 5 Stickers Mural Edgar Degas Noir Une touche de nudité délicate et élégante avec ce sticker mural de l&#39;Homme Nu couché de Edgar Degas - 32X54 cm<br />1 planche 49X69cm de 1 sticker<...
534,2462,Fournitures bureau,1281,Téléphonie fixe,0.48204345238221746,low_confidence,Lot De 2 Cds De Jeux De Cartes 
538,2403,Livres en langues étrangères,1280,Accessoires téléphones,0.6803795887232446,high_confidence,Lot 3 Magazines Avec Leur Figurine Playmobil 
540,1302,Jeux vidéo rétro,1320,CD,0.7955024519033237,high_confidence,Bavoir En Toile Ciree Poule bavoir en toile cirée poule
554,1280,Accessoires téléphones,2705,Accessoires console,0.258161272330215,low_confidence,Castors Chinois - 2000 - Ma Jongle Série LES CASTORS CHINOIS - 2000- MA JONGLE
565,2280,Jeux vidéo,10,Livres,0.30339686844377445,low_confidence,Freelog  N° 79 : Les Nouveaux Big Brother ! 
580,1320,CD,2060,Articles soins,0.9846756889274858,high_confidence,Dinosaures 3d Night Light Table Lampe De Bureau 7 Couleurs 3d Lumières Illusion Optique Dinosaures 3D Night Light Table lampe de bureau 7 couleurs 3D Lumières Illusion optique Caractéristique: Touch C...
584,2583,Articles sport,1280,Accessoires téléphones,0.37658653029031164,low_confidence,Filtre sundance 6540-488 psd125-2000 pour Spa Sundance spas Filtre sundance 6540-488 psd125-2000 compatible avec  880 series optima 780 series chelsee 880 series maxxus 880 series aspen 780 series mon...
592,60,Consoles,2705,Accessoires console,0.9826479535397399,high_confidence,New 3ds Blanche + La Maison Du Style 2 : Les Reines De La Mode (Préinstallé) <p>Nintendo New 3DS Blanche + le jeu La Nouvelle Maison du Style 2 en version pr&eacute;install&eacute;e.</p> <p>- Une cons...
593,1280,Accessoires téléphones,1140,TV,0.9196318303832024,high_confidence,The Walking Dead Tv Version Figurine Constable Rick Grimes 13 Cm Figurine articulée taille env. 13 cm avec accessoires et tête interchangeable. Livrée en emballage blister.
607,2705,Accessoires console,10,Livres,0.44058226994037125,low_confidence,Bestiaire De La Terre Du Ciel Et Des Eaux 
612,1281,Téléphonie fixe,1280,Accessoires téléphones,0.5631516242262578,high_confidence,Multi-Fonction Smart Music Alloy Mini Robot Jouet Pour Enfants Festival De Cadeau D'anniversaire Multi-Fonction Smart Music Alloy Mini Robot Enfants Jouet Festival Cadeau d&#39;anniversaire Caractéris...
629,1180,Décoration,1140,TV,0.6592800013361896,high_confidence,Kobold Trapmaker D&d Miniatures Night Below 
634,1280,Accessoires téléphones,1281,Téléphonie fixe,0.7822833803275159,high_confidence,Petit Canard Jaune Bébé Jouets D'apprentissage Fun Enlighten Swing Tumbler Baby Toy nouveau petit canard jaune bébé Fun Jouets d&#39;apprentissage Enlighten swing Tumbler Bébé Toy cadeau Caractéristiq...
637,2280,Jeux vidéo,2403,Livres en langues étrangères,0.48963388203467706,low_confidence,Batman 511 (Dc Comics) Septembre 1994 - Zero Hour 
641,1281,Téléphonie fixe,1180,Décoration,0.9059914118105155,high_confidence,Dongeons Et Dragons Miniatures Game Starter Set 
650,1280,Accessoires téléphones,1140,TV,0.27676355118609175,low_confidence,Happy Meal - Pokémon - Feunec 
655,1280,Accessoires téléphones,1140,TV,0.30504499413936764,low_confidence,Japanese Transformers Animated - Ta43 Iron Hide (Bulkhead) (Lights & Sounds) (Japan Import) 
671,2522,Équipement bébé,2705,Accessoires console,0.24999102627487368,low_confidence,Trieur Vertical Chantal Thomass 2 Compartiments Finition Pelliculée Mate Et Vernis Sélectif En bousculant avec audace les codes établis de la lingerie Chantal Thomass a opéré une véritable révolution ...
683,1281,Téléphonie fixe,1300,Jeux vidéo ancien,0.499746259589232,low_confidence,Petit Jouet Volant Drone Fidget Spinner Stress Relief Cadeau Volant Gyroscop Jouet Petit jouet Drone volant Fidget Spinner Stress Relief cadeau Gyroscop volant Toy NOTE: Ce dispositif n&#39;est pas ét...
690,1320,CD,2522,Équipement bébé,0.43338128735270254,low_confidence,Leina-Werke Leina Boîte De Premier Secours Pour Automobile Euro 10102 LEINA-WERKE - REF 10102<br>LEINA Boîte de premier secours pour automobile Euro<br>-------------- pour le Markt: D / L / CH / F ---...
696,2522,Équipement bébé,10,Livres,0.24549979196113064,low_confidence,5et B/2400 Etiq Las 64x34 Blc 900079 
704,1280,Accessoires téléphones,1140,TV,0.5768499907871903,high_confidence,Star Wars Episode I 16 Watto Plush Star Wars Episode I 16 Watto Plush
715,1280,Accessoires téléphones,40,DVD & Films,0.3564146563689458,low_confidence,Lego Legends Of Chima - Playthèmes - 70000 - Jeu De Construction - Le Corbeau Planeur De Razcal 
724,2060,Articles soins,1920,Musique amplifiée,0.7011020158273158,high_confidence,Chair Tapis Couverture Souple Artificielle En Peau De Mouton Laine Chaude Poilu Tapis Tapis Tapis Seat Tapis Soft Chair Cover artificielle en peau de mouton laine chaude Seat Tapis Poilu Tapis Tapis D...
725,2582,Matériel & accessoires,2585,Sports & Loisirs,0.4892281814489127,low_confidence,Fi-Shock - Piquet De Clôture Vert - P-30g Peut s&#39;utiliser pour protéger les jardinières de fleurs ou de légumes pour délimiter une propriété pour soutenir des plantes etc? - Ce piquet à clôture ve...
733,1560,Photos,2582,Matériel & accessoires,0.5868502961232881,high_confidence,15l 20l Swimming Waterproof Bag Rafting Outdoor Sports Bag Travel Kit Bkbhpp2499 15L 20L Swimming Waterproof Bags Storage Dry Sack Bag For Canoe Kayak Rafting Outdoor Sport Bags Travel Kit EquipmentMa...
740,2583,Articles sport,1140,TV,0.3249445335589721,low_confidence,FIDJI BLANC OU NOIR - Spa fidji 2 places allongees et 3 places assi... Materiaux: COQUE ARISTECH. 200x200x92 . Couleurs Disponibles: PHOTOS. Liste des Caractristiques: CARACTERISTIQUES TECHNIQUES: ; ....
742,1300,Jeux vidéo ancien,10,Livres,0.30432225291073545,low_confidence,Sonde Niveau De Capteur Hts - Télémétrie Hit44.907-Hitec 
743,2403,Livres en langues étrangères,10,Livres,0.49157670886176297,low_confidence,Ancienne Documentation Petits Trains Touristiques 
744,2585,Sports & Loisirs,2060,Articles soins,0.43968291036909646,low_confidence,2PC rideaux Clips magnétiques Retenues Boucle perle style décoratif rideau tools 2421 2PCS magnétique rideau crochets corde boucle embrasses Retenues Accueil DecorFeature: 100% tout neuf et haute cord...
754,1160,Électroménager,10,Livres,0.2764317855118549,low_confidence,Enishi Chancelier De Shien - Dl12 Fr009 
758,40,DVD & Films,10,Livres,0.463871301311801,low_confidence,Nos Voisins Les Hommes - Zamy Pète Les Plombs 
768,2060,Articles soins,1302,Jeux vidéo rétro,0.9964140512237212,high_confidence,45000lm 3 X Xm-L T6 Led Lampe Torche 4 X 18650 Lampe Chasse @Lampe De Poche 859 45000LM 15 x XM-L T6 LED lampe torche 4 x 18650 lampe de chasse Description: Ce brillant lampe de poche en alliage d&#39...
785,1940,Instrument musique,2522,Équipement bébé,0.7888228666642219,high_confidence,10 Sacs Pp Fond Carton 120x275 lots de 10 sacs fond carton 120x275 Emballage pour les bonbons chocolats et confiserie. Sacs 35µ. Stables grâce à leur fond carton. Présentation : Emballage neutre.
