sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,correct,text_sample
22,1280,Accessoires téléphones,1280,Accessoires téléphones,0.27962024984379436,True,1/6 Femme Corps Nu 19 Joints 4 Paires Mains Décor Pour Poupée 12 '' Blythe Néo Takara Magideal <p><b...
23,1281,Téléphonie fixe,1281,Téléphonie fixe,0.37951017640992224,True,Pegasus Spiele Brains - Japanischer Garten Board Game pIt is not as easy as it seems to lay out the ...
24,1940,Instrument musique,1940,Instrument musique,0.9992435382506412,True,Goldmännchen Thé Fleurs De Bach Patience & Sérénité 20 Sachets De Thé Un thé rooibos bio naturelleme...
25,1560,Photos,1560,Photos,0.9832424422199936,True,Matelas Latex 80 Kg/M3 + Aertech+ 35 Kg/M3 + Alèse 80x200 X 20 Cm Souple 7 Zones De Confort - Très R...
26,2403,Livres en langues étrangères,10,Livres,0.28590016415549563,False,Catalogue Phildar N°607 Modèles D'accessoires Femme À Tricoter 
27,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.7925381630339747,True,01:20 2.4g Télécommande Hors Route Monste Camion À Grande Vitesse Rtr Rc Voiture Jouet 25 Kmh @Uapav...
28,2280,Jeux vidéo,2403,Livres en langues étrangères,0.8775661219843093,False,Sharon Stone : Lot De Coupures De Presse 
29,2583,Articles sport,2583,Articles sport,0.9999994012815732,True,Traitement Mensuel eau de piscine Entretien 4en1 POLPO'O Piscines avec ou sans filtration piscine SP...
30,2462,Fournitures bureau,50,Jouets & Jeux,0.9532539573571358,False,Skylanders Giants + Le Plateau 
31,1280,Accessoires téléphones,1280,Accessoires téléphones,0.4018741280909492,True,Petshop Parc Jardin Avec 2 Petshops Singes 1 Pastèque 1 Assiette Biscuit Et 1 Gamelle 
32,40,DVD & Films,40,DVD & Films,0.9866697672935444,True,Lego Batman [Import Italien] [Jeu Ps2] <br>Attention !!! Ce produit est un import  si les informatio...
33,2280,Jeux vidéo,10,Livres,0.28993367692287225,False,Midam Kid Paddle Plan De Communication 2007 
34,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.6867162098173459,True,Bus The Londoner K15 1/43-Matchbox 
35,1160,Électroménager,1160,Électroménager,0.6887439619716814,True,Quartiers Du Déserteur &#43; Sentinelle Forgée D&#39;Or &#43; Fiole De L&#39;Alchimiste &#43; Étendu...
36,1160,Électroménager,1160,Électroménager,0.9959628170705332,True,Yu Yu Hakusho N°126 
37,1320,CD,1320,CD,0.9852258446957034,True,Monsieur Bébé ® Siège Auto Rehausseur Noir Et Rouge Groupe 2 Et 3 - De 15kg À 36kg - Norme Ece R44/0...
38,1920,Musique amplifiée,1920,Musique amplifiée,0.9701790625071425,True,Éponte Tapisserie Mur Couvre-Lit Serviette De Plage Tapis Couverture Table@Hpp1734 Bohême Mandala mu...
39,2060,Articles soins,2060,Articles soins,0.9555614259501966,True,Jour Non-Slip De Bain 3pcs Père Tapis De Bain Cuisine Tapis Paillassons Décor Shen 472 3pcs Jour Non...
40,1140,TV,1140,TV,0.7061733239464844,True,Star Wars (The Power Of The Force) - Kenner - Electronic Rebel Snowspeeder 
41,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9881785615258494,True,2en1 Multi Batterie Intelligente Recharge Rapide + 2 Batterie Pour Dji Tello Drone@Hpp3201-Générique...
42,2705,Accessoires console,2705,Accessoires console,0.8360396477997663,True,La Réincarnation Selon Le Spiritisme Peut-on trouver un sens &agrave; la vie dans la r&eacute;incarn...
43,1140,TV,1140,TV,0.487680516102054,True,Lot De 2 Figurines La Petite Sirene Et Le Crabe 
44,2582,Matériel & accessoires,2582,Matériel & accessoires,0.929332075406607,True,Soucoupe Ø 34.50 Cm Pour Pot Ø 44 46 Et 48 Cm -Taupe Cette soucoupe s&#39;adapte pour les pots de la...
45,50,Jouets & Jeux,50,Jouets & Jeux,0.9859167652644952,True,Pour Ns Switch / Commutateur Hdmi Vidéo Lite Hôte De Charge Station D'accueil Conversion Tenales Pou...
46,1140,TV,1140,TV,0.8918004264112026,True,Dragon Ball Z Ichiban Kuji Songoku Super Instinct 
47,2583,Articles sport,1302,Jeux vidéo rétro,0.2630947554920962,False,Jeu de sonde avec câblage pour ligne d'eau Ce jeu de sonde d&#39;une longueur de un mètre pour ligne...
48,1940,Instrument musique,1940,Instrument musique,0.9996747273674439,True,Eric Bur Epices Piment De Jamaique - 32g ERIC BUR Epices Piment De Jamaique - 32g - ERIC BUR Epices ...
49,1280,Accessoires téléphones,1280,Accessoires téléphones,0.9561255371224633,True,Real Newborn Handmade Lifelike Baby Doll Silicone Clothes Body 22'' 55cm Xmas Gizen8836 Real Newborn...
50,40,DVD & Films,40,DVD & Films,0.9914161985375741,True,Mac-Compilation [Import Allemand] [Jeu Mac] <br>Attention !!! Ce produit est un import  si les infor...
51,2705,Accessoires console,2705,Accessoires console,0.992828548150407,True,Dracula Ou La Croisade Des Temps Modernes Voici un thriller philosophique. Le roman mythique de Bram...
52,1560,Photos,1560,Photos,0.6741499246681184,True,Halloween Pumpkin Dentelle Laser Coupe Cupcake Wrapper Liner De Cuisson Coupe Muffin Vendu En Magasi...
53,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.9837070211633747,True,Lot De 5 Revues National Geographic Version Américaine Année 2001 
54,2582,Matériel & accessoires,2582,Matériel & accessoires,0.9193855303086756,True,Pot Blanc En Céramique Pour Plantes 24 Cm 
55,1160,Électroménager,1160,Électroménager,0.8066297757128703,True,Carte De Jeux Disney 127/180 - Auchan 
56,1302,Jeux vidéo rétro,1302,Jeux vidéo rétro,0.8691073818204581,True,Squishies Gâteau Kawaii Arc-En-Jumbo Rising Lent Squishies De Fromage Parfumé Squishies Gâteau arc-J...
57,60,Consoles,60,Consoles,0.9992256068387113,True,"2019 Nouveau 16 Gb Pap Ii Plus 4.3 \""""Lecteur De Jeu Portable 64bit Pap Gameta Pmp Psp Intégré 3000 ..."
58,2905,Instruments musique,2905,Instruments musique,0.9844635328863944,True,Christmas Stories: Le Cadeau Des Mages - Jeu En Téléchargement <p>Tous les enfants sur la bonne list...
59,40,DVD & Films,40,DVD & Films,0.7762368813923917,True,Borderlands Ii - Pack Contenu Additionnel 
60,2583,Articles sport,2705,Accessoires console,0.4999476160312015,False,Piscine hors sol en acier ovale 5x3x132m GRE - KITPROV508PO Kit piscine paroi acier d&eacute;montabl...
61,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.9953457762122673,True,Lot De 5 Marque-Pages Beaux Paysages N°3 Sur Papier Photo 
62,1281,Téléphonie fixe,1281,Téléphonie fixe,0.5728110421991701,True,Feculent Gnarlaw 83-53 - Warhammer Age Of Sigmar Partout où les servants de Nurgle se regroupent en ...
63,1560,Photos,1560,Photos,0.8037228151554667,True,"Paris Prix - Bureau Inclinable 1 Tiroir ""Ulrik"" 110cm Blanc Informations Techniques :<ul><li><strong..."
64,2583,Articles sport,2583,Articles sport,0.998556409180365,True,ECSTATIC - Spa 7 places balboa 305x228cm Materiaux: COQUE ARISTECH. 305x228x91cm. Liste des Caractér...
65,2583,Articles sport,2583,Articles sport,0.9928591948362266,True,Douche solaire Noir 214 cm 9 L <p>Profitez d&#39;une douche chaude au bord de la piscine ou dans le ...
66,1920,Musique amplifiée,1920,Musique amplifiée,0.9651406298861519,True,S4sassy Canard Coton Feuilles Bavoir Pour Barbecue De Chef-24 X 32 Pouces <p>* Ces tabliers colorés ...
67,2060,Articles soins,2060,Articles soins,0.9846872243377077,True,5d Broderie Peintures Strass Bricolage Pasted Full Diamond Peinture 5D broderie Peintures strass bri...
68,2585,Sports & Loisirs,2060,Articles soins,0.41728591610807664,False,Halloween Masque bouche d'horreur effrayant visage Fancy dents Zombies cadeau sanglant Horrific okad...
69,1320,CD,1320,CD,0.9921269879268503,True,Mode Féminine Contraste Sac À Bandoulière Couleur De La Chaîne Diagonale Croix De Sac À Main Bt2010 ...
70,1920,Musique amplifiée,2060,Articles soins,0.9525809108288111,False,Taie Canapé Voiture Taille Throw Coussin Décoration Pillow Case 24098 Taie Sofa taille voiture Throw...
71,2583,Articles sport,2583,Articles sport,0.9984492485707157,True,Matelas de piscine Cocktail Cubain - Intex Matelas de piscine Cocktail de la marque Intex.? Matière ...
72,1920,Musique amplifiée,1920,Musique amplifiée,0.9515041872064369,True,Oreiller Cou Coussin De VoyageOreiller Mignon De Cou De Coussin De Dessin Animé Magideal <p><b>La de...
73,2705,Accessoires console,2705,Accessoires console,0.9455255328659252,True,Facebook Twitter Et Les Autres Sur 37 milliards d'internautes dans le monde 27 milliards sont connec...
74,2280,Jeux vidéo,2705,Accessoires console,0.8214810500967562,False,La Hulotte N° 9 - Comment Bague-T-On Les Oiseaux ? Un Lerot En Cour D'assises Les Malheures De La Hu...
75,1320,CD,1320,CD,0.9290476651951957,True,Tapis Lapin Gris Tapis Éveil Jeu Bébé Rond Animaux Moquette Enfant Tapis Chambre Bebe Fille Garcon 1...
76,2583,Articles sport,2583,Articles sport,0.9991204072970948,True,Pompe filtration STA-RITE Série SW5P6R 15 cv tri - Eau de mer Les principaux atouts de la Pompe filt...
77,2583,Articles sport,2583,Articles sport,0.7813953347746123,True,Chauffage électrique 2 kw pour dolce 75 Design italien et technologie de pointe optez pour Dolce par...
78,2522,Équipement bébé,2522,Équipement bébé,0.9992853859114524,True,"Avery Zweckform Lot De 5 Bloc-Notes ""Notizio"" A4 Quadrillé Pp AVERY Zweckform Bloc-notes &#34;Notizi..."
79,40,DVD & Films,2462,Fournitures bureau,0.9056631474008775,False,Fifa 16 - Xbox 360 FIFA 16 - Xbox 360
80,2583,Articles sport,2583,Articles sport,0.9978218813806177,True,Échelle Murale pour Piscine Enterrée Gre 40274 Complétez votre piscine enterrée avec un élément de h...
81,10,Livres,10,Livres,0.27883200589325174,True,I Saw Her Standing There 
82,1560,Photos,1560,Photos,0.9798855678461684,True,Canapé 2 Places Gris En Polyester Imitation Cuir Lokka <b>Canapé 2 places gris au style rétro en pol...
83,2280,Jeux vidéo,2280,Jeux vidéo,0.4316272591583068,True,Brulant  1ere Serie/ Album De 2n°  N° 3020 : Mission X / Situation Desesperee 
84,2522,Équipement bébé,2522,Équipement bébé,0.9792656926316176,True,Kapitza - Agenda Magnet0 2018 - 16x22 Cm 
85,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9716794707570332,True,10pcs Alliage De Titane Tirez Rod Biellette 324mm Empattement Pour 1/10 Rc Crawler Voiture @Dfgjlkni...
86,1920,Musique amplifiée,1920,Musique amplifiée,0.9632036926282835,True,Noël Coton Lin Canapé Voiture Accueil Taille Coussin Coussin Case Noël coton lin Canapé voiture Accu...
87,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9999720184001402,True,Mini Sac De Transport Portable Uav Batterie Pour Le Corps Hélices Cable + Remote Sac De Contrôleur É...
88,1160,Électroménager,1160,Électroménager,0.999760716339114,True,Carte  Commune Miracle Battle Carddass  N°09/77 De La Série Nr05. 
89,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.7979402233121503,True, Tout Savoir  - Aout 1956 - Faut Il Recommencer Les Croisades - Lot De  Une Revue  
90,2403,Livres en langues étrangères,10,Livres,0.412421710755701,False,Un Ennemi D'enfance Claudine Jouvet Collection Nous Deux N°51 
91,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.8982617154258449,False,Handheld Extension Rod Selfie Bâton Avec 1/4 Adaptateur Vis Pour Dji Osmo Pocket Extension de poche ...
92,2583,Articles sport,2583,Articles sport,0.8182855875856542,True,Nettoyeur de Fonds Électrique Vac Plus Gre VCB50 Il est temps de prendre soin du fond de votre pisci...
93,1560,Photos,1560,Photos,0.5602243433311905,True,Kartell Tabouret Charles Ghost Hauteur 46 Cm (Fumé - Polycarbonate Transparent) Sa forme rappelle ce...
94,1301,Consoles rétro,1301,Consoles rétro,0.9994811113056655,True,Extension télescopique pour queue de billard 
95,2462,Fournitures bureau,2462,Fournitures bureau,0.9787600705677432,True,Xbox360 + 1 Manette + 3 Jeux 
96,1560,Photos,1560,Photos,0.6662640795860162,True,Canapé Convertible Avec Matelas 140 Cm Tissu Gris Dome 
97,2522,Équipement bébé,2522,Équipement bébé,0.996661963630075,True,Stylo Bille. Atlantis Soft. Bic. Medium. Bleu. Noir. Rouge. Vert BIC ATLANTIS SOFTSTYLO BILLE RETRAC...
98,1301,Consoles rétro,1301,Consoles rétro,0.9991018957040771,True,"Cible ""Electro 3"" HARROWS-Harrows <p>Pour jouer de 1 à 8 joueurs ou en équipes. 26 jeux populaires e..."
99,2582,Matériel & accessoires,2582,Matériel & accessoires,0.9088361286538061,True,Lit De Jardin Avec Structure En Bois De Mélèze Teramo <b>Lit de jardin en bois de Mélèze avec capote...
100,2522,Équipement bébé,2522,Équipement bébé,0.996884276237051,True,Wedo Serre-Livres (L)140 X (P)140 X (H)120 Mm Rouge Constructeur: WEDO. Référence: 102 1102. Vendeur...
101,1320,CD,1320,CD,0.5462931593185013,True,Set Repas Silicone 2 Pièces Compartimenté - Blue Set repas silicone 2 pièces compartimenté - blue
102,1280,Accessoires téléphones,2220,Puériculture,0.8771898855559555,False,Ok550 Tamagotchi Animal Version Couleur Bleu Oeuf Du Micro-Chatpet Portable Virtual Pet Électronique...
103,1320,CD,1920,Musique amplifiée,0.9702003128759309,False,Cot/Bed Duvet Cover &amp; Pc - Bird Emb Pink - Ensemble couette et Taie d&#39;oreiller - Oiseaux bro...
104,1920,Musique amplifiée,1920,Musique amplifiée,0.974272627251416,True,Cas Halloween Oreiller Lin Sofa Fantômes Citrouille Coussin Home Décor M Cc6087 Halloween Pillow cas...
105,50,Jouets & Jeux,50,Jouets & Jeux,0.9966099322929475,True,Nettoyage Ordinateur Portable Ultra-Mince Clavier Brosse Pour Les Ordinateurs Portables Notebooks Fe...
106,2583,Articles sport,2583,Articles sport,0.9993412394820776,True,Testeur électronique de sel Un indispensable pour tous les propriétaires de piscine à sel fonctionna...
107,1160,Électroménager,1160,Électroménager,0.9957314368946726,True,Caninos 55/92 Set Ex Créateurs De Légendes Fr 
108,1940,Instrument musique,1940,Instrument musique,0.9999087742292757,True,Senseo Café Intense Noir Exquis 32 Dosettes SENSEO Café Intense Noir Exquis 32 dosettes - SENSEO Caf...
109,2905,Instruments musique,1280,Accessoires téléphones,0.24816906212670722,False,Delicious Emily's New Beginning - Jeu En Téléchargement <p>Cela signifie que la mère Emily a un peu ...
110,1302,Jeux vidéo rétro,1302,Jeux vidéo rétro,0.9993898860959987,True,Mini Zoomables Q5 Lampe De Poche Led 3 Mode Torche Super Bright Light Lamp Stream Mini zoomables CRE...
111,2280,Jeux vidéo,2522,Équipement bébé,0.7286415646668291,False,Rêves Voilés * 1986 * Daniel Fayolle 80 Pages Hardcover <br /><p></p> <p>Rêves Voilés</p> <p>Daniel ...
112,1281,Téléphonie fixe,1281,Téléphonie fixe,0.9742029116137041,True,Jeu 54 Cartes Bridge.Poker.Canasta. Bataille 
113,2583,Articles sport,2583,Articles sport,0.9999960347458537,True,Kit piscine bois Sunbay Evora 600 x 400 x 133 m + Alarme + Kit d'entretien + Douche Cet été optez po...
114,1281,Téléphonie fixe,1281,Téléphonie fixe,0.8550617517299346,True,Totika Set Five Card Decks Included TOTIKA SET (Five Card Decks Included) Ages 8 and up Manufacturer...
115,2220,Puériculture,2220,Puériculture,0.999961047774647,True,Chien Chat Gilet Printemps Et En Été Respirant Tranches De Citron Imprimer Vêtements Mince S Chien C...
116,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9883651520575103,True,01:32 Militaires Alliage Diecast Cars Modèle Électronique Voitures Enfants Cadeau D'anniversaire @Df...
117,1140,TV,1140,TV,0.9224386504131061,True,Star Wars Episode Vii Mug Droids 
118,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9742199917018647,True,Sécurité Dragonne Ceinture Sangle Longe Main Sling Grip Pour Action Dji Osmo B907-Générique Sécurité...
119,2705,Accessoires console,10,Livres,0.40261513830865275,False,La Croix De Roses 
120,2522,Équipement bébé,2522,Équipement bébé,0.9587727153090262,True,Animaux 3d Imprimer Élève Du Secondaire Collège Sac Pen Stationery Box Case Packet @Watermelon45 Ani...
121,1320,CD,1320,CD,0.9963924188334056,True,Transat Pour Bébé Berceuse Modèle Lion Dimensions: 73 X 72 X 50 Cm Le bien-être du bébé est un des p...
122,2583,Articles sport,2583,Articles sport,0.9999712398761134,True,NOX 75-15 M de Jardino - Pompe piscine Tension (V) : Monophasé - 230 V  Puissance : 075 CV  Type de ...
123,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.8034408883113598,True,Maquette D'avion L103 5mp 1080p Grand Angle Wifi Fpv Double Camera Hd Pliable Rc Drone Quadrocopter ...
124,2583,Articles sport,2583,Articles sport,0.998813857681588,True,Piscine Toi Canarias 460x120 cm Piscine hors sol autoportante Toi 8485 Canarias circulaire de 460 cm...
125,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.873368135658979,True,Roco 45632 Fs Carrozza Voiture Voyageur Grand Confort Fs 1° Cl Ho 1/87-Roco 
126,1140,TV,1140,TV,0.7574797688283272,True,Figurine Dingo Sort Du Bain Figurine Dingo (Nestlé).
127,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9997523615173249,True,Iflight Vertigo Vx5 V2 200mm 5 Pouces Cadre En Aluminium Cnc Pour Fpv Racing Drone-Générique 
128,1160,Électroménager,1160,Électroménager,0.9943867668963113,True,Franck Rabarivony - Official Football Panini 95 - N°22 
129,2280,Jeux vidéo,2280,Jeux vidéo,0.8546093519453112,True,Peuple (Le) N° 5176 Du 22/03/1935 - La C.G.T. Et L'unite - Aux Assises De La Seine - Un Mari Meurtri...
130,1160,Électroménager,1160,Électroménager,0.8507014988116216,True,Naruto - Absorption Du Chakra Te-95 
131,2583,Articles sport,2583,Articles sport,0.9958034433752713,True,Couverture à bulles de piscine -Eté - rectangulaire 930 x 465 m Couverture à bulles bordée sur 4 côt...
132,1560,Photos,1560,Photos,0.963021503471862,True,Sorcière Citrouille Chauve-Souris En Verre Colle Signe Motif Dôme En Verre Aimants Pour Réfrigérateu...
133,1920,Musique amplifiée,1920,Musique amplifiée,0.9977543528526434,True,Taie D'oreiller Animal Mignon Coussin Sofa Case Coussin Home Décor Cc4028 Taie doreiller animal mign...
134,2060,Articles soins,2060,Articles soins,0.9422716690292485,True,2019 Nouveau En Acier Inoxydable Led Miroir Phare Salle De Bains Toilette Étanche À L'humidité Simpl...
135,2585,Sports & Loisirs,2585,Sports & Loisirs,0.996377639560536,True,LAME DE TONDEUSE ARIENS Fabricant : ARIENS<br>LAME DE TONDEUSE ARIENS. LONGUEUR 810MM - ALESAGE CENT...
136,1280,Accessoires téléphones,1140,TV,0.31810037587260737,False,Nirvash Type Zero (Eureka Twin Sheet) 
137,1140,TV,1140,TV,0.7845517235317587,True,Figurine La Famille Pierrafeu - Wilma Et Dino En Voiture - Happy Meal - Mcdo 1994 
138,1301,Consoles rétro,1301,Consoles rétro,0.9998946601982002,True,Nouveau-né Bébé Filles Garçons Anti-Slip Chaussettes Chaussures bowknot Slipper Bas-Auucne Enfants b...
139,60,Consoles,60,Consoles,0.9998827643215786,True,Mini Console De Jeu Rétro Portable De Poche Parfaite Pour Les Jeux Gba 32bit Préchargés Avec 40 Jeux...
140,2280,Jeux vidéo,2280,Jeux vidéo,0.9885826510473478,True,Fillette N° 22 Du 27/03/1964 - Hugues Aufray. 
141,2280,Jeux vidéo,10,Livres,0.8021558305889938,False,Collection  De Monsieur X /Restauration-Louis Philippe Et Second  Empire / 2007  
142,60,Consoles,60,Consoles,0.9329963212357242,True,Nintendo 1-2-Switch Switch Basic Nintendo Switch Videogioco (1-2 Switch) Nintendo 1-2-Commutateur Co...
143,1560,Photos,2060,Articles soins,0.3749308972262868,False,Fua1997®Usb Chaud Bouteille Portable Alimentation Chauffe-Lait Voyage Extérieur Couverture Isolation...
144,2280,Jeux vidéo,2280,Jeux vidéo,0.7164889615816129,True,Liberation N° 6676 Du 31/10/2002 - - Israel - La Guahce Lache Sharon - Chasse Aux Tchetchenes - Atte...
145,1280,Accessoires téléphones,1300,Jeux vidéo ancien,0.4136222274975093,False,Team Redcat Waterproof Receiver Box Vehicle Redact Racing Waterproof Receiver Box Compatible with th...
146,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.986860029286814,True,Imperméable À L'eau Portable Sac De Rangement De Transport Pour Dji 2 Pro Mavic / Zoom & Smart@Hpp47...
147,1160,Électroménager,1160,Électroménager,0.9998246962995931,True,Yu-Gi-Oh! Gaiodiaz Bête Gladiateur Glas-Fr043 Rare 
148,1140,TV,1140,TV,0.8427894584143462,True,Star Trek Official Starships Collection #29 Vaisseau Jem Hadar Bug Vaisseau très détaillé fini et pe...
149,2582,Matériel & accessoires,2582,Matériel & accessoires,0.9798088868053199,True,Salon De Jardin: Table Bilbao 2 3m Et 10 Fauteuils Prague Chocolat - Oogarden Salon de jardin BILBAO...
150,1940,Instrument musique,1940,Instrument musique,0.9988300027055602,True,Bledina Légumes Du Potage Pâtes - 2x200g BLEDINA Légumes du potage pâtes - 2x200g - BLEDINA Légumes ...
151,2280,Jeux vidéo,2280,Jeux vidéo,0.9423598331838686,True,Point (Le) N° 1984 Du 23/09/2010 - Pour En Finir Avec Les Conflits D'interets / Martin Hirsch Accuse...
152,1920,Musique amplifiée,1920,Musique amplifiée,0.9804495014313273,True,Coussin D'ameublement Décoratif Couverture Confortable Throw Taies D'oreiller Suan28954 Coussin d&#3...
153,2905,Instruments musique,2905,Instruments musique,0.9999999860605235,True,Prey - Jeu En Téléchargement <div> <p><strong>NOTE :</strong> un compte Steam et une connexion inter...
154,2220,Puériculture,2220,Puériculture,0.9987568161375475,True,Perchoir Balançoire Jouet À Mâcher Suspendu Pour Oiseaux Perroquet Perruches Magideal <p><b>La descr...
155,1560,Photos,1560,Photos,0.9433346630249265,True,Coussin De Siège Amélioré Gel - Non-Slip Orthopédique Gel Et Mousse À Mémoire Coccyx Coussin @Sdongt...
156,2582,Matériel & accessoires,2582,Matériel & accessoires,0.43106428972335825,True,Statue Sculpture Chat En Ciment 20 Cm <p>Ce <strong>chat en ciment</strong> ira parfaitement dans vo...
157,2522,Équipement bébé,2522,Équipement bébé,0.9883732596163622,True,Marabu Pinceau-Brosse Robust Plat Taille 12 Constructeur: Marabu. Référence: 018000012. Vendeur pro ...
158,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9999963715995844,True,Maquette D'avion L500 720p Wifi Fpv Wide 0.3mp Hd Camera 2.4ghz 6 Axis Rc Quadcopter Selfie Drone Li...
159,1920,Musique amplifiée,1920,Musique amplifiée,0.962698738874336,True,Marine Style Coussin En Coton Lin Couverture Jeter Taille Taie Canapé Home Décor Taie D'oreiller 743...
160,2220,Puériculture,2220,Puériculture,0.7202083671664461,True,Chien Coudières Supplémentaire De Soutien Pour Chien Canine Arrière Jambe Hock Wrap Joint Protectdzv...
161,2280,Jeux vidéo,2280,Jeux vidéo,0.9314173186634106,True,Republique (La) N° 276 Du 28/11/1848 - Revelations Edifiantes - Seance De L'assemblee Nationale - Fe...
162,1302,Jeux vidéo rétro,1302,Jeux vidéo rétro,0.9957764417026825,True,Roulements À Billes De Pêche Spinning Saltwater Vitesse D'eau Douce Vitesse Pêche À La Ligne 2375 Le...
163,2060,Articles soins,2582,Matériel & accessoires,0.9328547984380986,False,Lampadaire De Jardin E27 220 Cm Aluminium 3 Lanternes Blanc <p>Ce lampadaire de jardin à 3 lanternes...
164,1140,TV,1280,Accessoires téléphones,0.3695674020320078,False,Les Castors En Chine - 7 Pièces 
165,1300,Jeux vidéo ancien,1300,Jeux vidéo ancien,0.9100918181412353,True,Miniature 1/43ème Par New Ray : Alfa Romeo Alfa Spider Modèle 1989-Newray 
166,2522,Équipement bébé,2522,Équipement bébé,0.9994608017645766,True,"Pagna Classeur A Anneaux ""Basic Colours"" Vert Format A4 Constructeur: PAGNA. Référence: 20607-05. Ve..."
