,in_test,in_train_original,in_train_balanced,is_ignored
161,False,True,False,True
162,False,True,True,False
163,False,True,True,False
164,False,True,False,True
165,False,True,True,False
166,False,True,False,True
167,True,False,False,False
168,False,True,True,False
169,False,True,False,True
170,False,True,True,False
171,False,True,False,True
172,False,True,False,True
173,False,True,True,False
174,True,False,False,False
175,False,True,True,False
176,True,False,False,False
177,True,False,False,False
178,False,True,False,True
179,False,True,True,False
180,False,True,True,False
181,False,True,True,False
182,False,True,True,False
183,True,False,False,False
184,True,False,False,False
185,False,True,True,False
186,True,False,False,False
187,True,False,False,False
188,True,False,False,False
189,False,True,False,True
190,False,True,True,False
191,False,True,True,False
192,False,True,True,False
193,False,True,True,False
194,False,True,False,True
195,False,True,True,False
196,False,True,True,False
197,True,False,False,False
198,False,True,False,True
199,False,True,True,False
200,False,True,True,False
201,False,True,True,False
202,False,True,True,False
203,True,False,False,False
204,False,True,True,False
205,False,True,False,True
206,False,True,False,True
207,False,True,True,False
208,False,True,True,False
209,False,True,True,False
210,True,False,False,False
211,False,True,True,False
212,False,True,True,False
213,False,True,False,True
214,True,False,False,False
215,False,True,True,False
216,False,True,True,False
217,False,True,True,False
218,False,True,False,True
219,False,True,True,False
220,False,True,True,False
221,False,True,True,False
222,False,True,True,False
223,False,True,True,False
224,False,True,False,True
225,False,True,False,True
226,False,True,False,True
227,True,False,False,False
228,True,False,False,False
229,False,True,True,False
230,False,True,True,False
231,False,True,False,True
232,False,True,False,True
233,False,True,False,True
234,False,True,False,True
235,True,False,False,False
236,False,True,False,True
237,False,True,False,True
238,False,True,True,False
239,False,True,False,True
240,False,True,False,True
241,False,True,False,True
242,False,True,False,True
243,False,True,True,False
244,True,False,False,False
245,False,True,True,False
246,True,False,False,False
247,False,True,True,False
248,False,True,False,True
249,False,True,True,False
250,True,False,False,False
251,True,False,False,False
252,False,True,True,False
253,False,True,True,False
254,False,True,False,True
255,False,True,True,False
256,False,True,False,True
257,True,False,False,False
258,False,True,True,False
259,False,True,True,False
260,False,True,False,True
261,True,False,False,False
262,False,True,True,False
263,False,True,True,False
264,False,True,False,True
265,False,True,False,True
266,False,True,True,False
267,True,False,False,False
268,False,True,True,False
269,False,True,True,False
270,False,True,True,False
271,False,True,True,False
272,False,True,True,False
273,False,True,False,True
274,False,True,True,False
275,False,True,True,False
276,False,True,True,False
277,False,True,True,False
278,False,True,True,False
279,False,True,True,False
280,False,True,True,False
281,False,True,True,False
282,False,True,True,False
283,False,True,True,False
284,False,True,True,False
285,False,True,False,True
286,True,False,False,False
287,False,True,True,False
288,False,True,False,True
289,False,True,True,False
290,False,True,True,False
291,False,True,True,False
292,False,True,True,False
293,False,True,False,True
294,False,True,True,False
295,False,True,True,False
296,True,False,False,False
297,False,True,False,True
298,False,True,False,True
299,True,False,False,False
300,False,True,True,False
301,False,True,True,False
302,False,True,True,False
303,False,True,False,True
304,False,True,True,False
305,False,True,True,False
306,False,True,True,False
307,False,True,False,True
308,False,True,True,False
309,False,True,True,False
310,False,True,True,False
311,False,True,True,False
312,True,False,False,False
313,False,True,False,True
314,False,True,True,False
315,False,True,False,True
316,False,True,True,False
317,False,True,False,True
318,False,True,True,False
319,False,True,False,True
320,False,True,True,False
321,False,True,True,False
322,False,True,True,False
323,False,True,False,True
324,False,True,True,False
325,False,True,True,False
326,False,True,False,True
327,False,True,False,True
328,False,True,False,True
329,True,False,False,False
330,False,True,True,False
331,False,True,True,False
332,False,True,True,False
333,False,True,False,True
334,False,True,False,True
335,False,True,True,False
336,False,True,True,False
337,False,True,False,True
338,True,False,False,False
339,False,True,True,False
340,False,True,True,False
341,True,False,False,False
342,False,True,True,False
343,False,True,True,False
344,False,True,False,True
345,True,False,False,False
346,False,True,True,False
347,True,False,False,False
348,True,False,False,False
349,False,True,True,False
350,False,True,False,True
351,True,False,False,False
352,False,True,True,False
353,True,False,False,False
354,False,True,True,False
355,False,True,True,False
356,False,True,True,False
357,False,True,False,True
358,False,True,False,True
359,False,True,False,True
360,False,True,True,False
361,True,False,False,False
362,False,True,True,False
363,False,True,True,False
364,False,True,True,False
365,False,True,True,False
366,False,True,True,False
367,False,True,True,False
368,False,True,True,False
369,False,True,True,False
370,False,True,True,False
371,False,True,True,False
372,False,True,True,False
373,False,True,False,True
374,True,False,False,False
375,False,True,True,False
376,True,False,False,False
377,True,False,False,False
378,False,True,True,False
379,False,True,False,True
380,True,False,False,False
381,False,True,False,True
382,False,True,True,False
383,False,True,True,False
384,True,False,False,False
385,False,True,False,True
386,True,False,False,False
387,False,True,False,True
388,False,True,False,True
389,True,False,False,False
390,False,True,True,False
391,False,True,True,False
392,True,False,False,False
393,True,False,False,False
394,False,True,True,False
395,False,True,False,True
396,False,True,True,False
397,False,True,False,True
398,True,False,False,False
399,False,True,False,True
400,False,True,True,False
401,False,True,True,False
402,True,False,False,False
403,False,True,True,False
404,True,False,False,False
405,False,True,True,False
406,False,True,True,False
407,True,False,False,False
408,False,True,True,False
409,False,True,True,False
410,True,False,False,False
411,False,True,False,True
412,True,False,False,False
413,True,False,False,False
414,False,True,True,False
415,True,False,False,False
416,False,True,True,False
417,False,True,True,False
418,True,False,False,False
419,False,True,True,False
420,False,True,False,True
421,False,True,True,False
422,False,True,True,False
423,True,False,False,False
424,False,True,True,False
425,True,False,False,False
426,True,False,False,False
427,False,True,True,False
428,True,False,False,False
429,False,True,True,False
430,False,True,True,False
431,False,True,True,False
432,False,True,True,False
433,False,True,True,False
434,False,True,False,True
435,False,True,False,True
436,False,True,True,False
437,True,False,False,False
438,True,False,False,False
439,False,True,True,False
440,True,False,False,False
441,False,True,True,False
442,False,True,True,False
443,False,True,True,False
444,False,True,True,False
445,False,True,False,True
446,False,True,False,True
447,False,True,True,False
448,False,True,False,True
449,False,True,True,False
450,False,True,True,False
451,False,True,True,False
452,False,True,True,False
453,False,True,True,False
454,False,True,True,False
455,False,True,True,False
456,False,True,True,False
457,False,True,True,False
458,False,True,True,False
459,False,True,True,False
460,False,True,True,False
461,False,True,False,True
462,False,True,False,True
463,False,True,False,True
464,False,True,False,True
465,False,True,True,False
466,False,True,False,True
467,False,True,False,True
468,False,True,True,False
469,False,True,False,True
470,False,True,True,False
471,False,True,True,False
472,False,True,False,True
473,False,True,True,False
474,True,False,False,False
475,False,True,False,True
476,False,True,True,False
477,True,False,False,False
478,False,True,False,True
479,False,True,False,True
480,False,True,True,False
481,False,True,True,False
482,False,True,True,False
483,False,True,True,False
484,False,True,False,True
485,False,True,True,False
486,False,True,True,False
487,True,False,False,False
488,True,False,False,False
489,False,True,False,True
490,False,True,True,False
491,False,True,True,False
492,False,True,True,False
493,False,True,True,False
494,False,True,True,False
495,False,True,True,False
496,False,True,True,False
497,True,False,False,False
498,False,True,False,True
499,False,True,False,True
500,False,True,False,True
501,True,False,False,False
502,False,True,True,False
503,False,True,False,True
504,True,False,False,False
505,False,True,False,True
506,False,True,True,False
507,False,True,True,False
508,True,False,False,False
509,False,True,True,False
510,False,True,False,True
511,False,True,True,False
512,False,True,True,False
513,False,True,True,False
514,False,True,True,False
515,True,False,False,False
516,False,True,True,False
517,False,True,False,True
518,False,True,True,False
519,False,True,False,True
520,False,True,True,False
521,False,True,False,True
522,False,True,False,True
523,True,False,False,False
524,False,True,True,False
525,False,True,True,False
526,False,True,True,False
527,True,False,False,False
528,False,True,True,False
529,False,True,True,False
530,False,True,True,False
531,True,False,False,False
532,False,True,True,False
533,False,True,False,True
534,False,True,False,True
535,False,True,True,False
536,False,True,True,False
537,False,True,True,False
538,False,True,True,False
539,False,True,True,False
540,False,True,False,True
541,False,True,True,False
542,False,True,True,False
543,True,False,False,False
544,False,True,True,False
545,False,True,True,False
546,False,True,False,True
547,False,True,False,True
548,False,True,True,False
549,False,True,False,True
550,False,True,True,False
551,False,True,False,True
552,True,False,False,False
553,False,True,True,False
554,True,False,False,False
555,False,True,True,False
556,True,False,False,False
557,False,True,True,False
558,False,True,True,False
559,False,True,False,True
560,False,True,False,True
561,True,False,False,False
562,True,False,False,False
563,False,True,True,False
564,True,False,False,False
565,False,True,True,False
566,False,True,True,False
567,False,True,False,True
568,False,True,True,False
569,False,True,True,False
570,False,True,False,True
571,False,True,True,False
572,False,True,False,True
573,True,False,False,False
574,False,True,False,True
575,False,True,True,False
576,False,True,True,False
577,False,True,True,False
578,True,False,False,False
579,True,False,False,False
580,True,False,False,False
581,False,True,False,True
582,False,True,True,False
583,False,True,True,False
584,False,True,True,False
585,True,False,False,False
586,False,True,True,False
587,True,False,False,False
588,False,True,False,True
589,True,False,False,False
590,True,False,False,False
591,False,True,True,False
592,False,True,False,True
593,False,True,False,True
594,False,True,False,True
595,False,True,True,False
596,True,False,False,False
597,False,True,True,False
598,False,True,True,False
599,True,False,False,False
600,False,True,True,False
601,False,True,False,True
602,True,False,False,False
603,False,True,False,True
604,False,True,True,False
605,False,True,False,True
606,False,True,False,True
607,False,True,False,True
608,False,True,False,True
609,False,True,False,True
610,False,True,True,False
611,False,True,True,False
612,False,True,False,True
613,False,True,False,True
614,False,True,True,False
615,True,False,False,False
616,False,True,True,False
617,False,True,True,False
618,False,True,True,False
619,False,True,True,False
620,False,True,True,False
621,False,True,False,True
622,True,False,False,False
623,False,True,True,False
624,False,True,True,False
625,False,True,True,False
626,False,True,True,False
627,False,True,False,True
628,False,True,True,False
629,False,True,True,False
630,False,True,False,True
631,True,False,False,False
632,True,False,False,False
633,False,True,False,True
634,False,True,False,True
635,False,True,False,True
636,False,True,True,False
637,False,True,True,False
638,False,True,True,False
639,False,True,True,False
640,True,False,False,False
641,False,True,False,True
642,False,True,False,True
643,False,True,True,False
644,False,True,True,False
645,False,True,False,True
646,True,False,False,False
647,False,True,True,False
648,False,True,True,False
649,False,True,True,False
650,False,True,False,True
651,False,True,False,True
652,True,False,False,False
653,False,True,True,False
654,False,True,True,False
655,True,False,False,False
656,False,True,True,False
657,False,True,False,True
658,False,True,True,False
659,False,True,False,True
660,True,False,False,False
661,True,False,False,False
662,False,True,True,False
663,False,True,True,False
664,False,True,True,False
665,False,True,True,False
666,False,True,True,False
667,False,True,True,False
668,True,False,False,False
669,False,True,True,False
670,True,False,False,False
671,False,True,False,True
672,False,True,True,False
673,False,True,True,False
674,False,True,False,True
675,False,True,True,False
676,False,True,True,False
677,True,False,False,False
678,False,True,True,False
679,False,True,True,False
680,False,True,True,False
681,False,True,True,False
682,False,True,True,False
683,True,False,False,False
684,False,True,False,True
685,False,True,True,False
686,False,True,False,True
687,False,True,True,False
688,True,False,False,False
689,False,True,True,False
690,False,True,True,False
691,False,True,True,False
692,False,True,False,True
693,False,True,True,False
694,False,True,True,False
695,False,True,True,False
696,False,True,True,False
697,True,False,False,False
698,False,True,True,False
699,False,True,True,False
700,False,True,True,False
701,False,True,False,True
702,False,True,True,False
703,False,True,False,True
704,True,False,False,False
705,False,True,True,False
706,False,True,False,True
707,False,True,True,False
708,False,True,False,True
709,False,True,True,False
710,True,False,False,False
711,False,True,False,True
712,True,False,False,False
713,False,True,True,False
714,False,True,True,False
715,False,True,False,True
716,False,True,True,False
717,False,True,True,False
718,False,True,False,True
719,True,False,False,False
720,False,True,False,True
721,False,True,True,False
722,False,True,False,True
723,False,True,False,True
724,False,True,True,False
725,True,False,False,False
726,False,True,False,True
727,True,False,False,False
728,False,True,True,False
729,False,True,True,False
730,False,True,False,True
731,False,True,True,False
732,False,True,False,True
733,False,True,True,False
734,False,True,True,False
735,False,True,False,True
736,False,True,False,True
737,True,False,False,False
738,False,True,False,True
739,False,True,True,False
740,False,True,False,True
741,False,True,True,False
742,False,True,False,True
743,False,True,True,False
744,False,True,True,False
745,False,True,True,False
746,False,True,False,True
747,False,True,True,False
748,False,True,True,False
749,False,True,False,True
750,False,True,True,False
751,True,False,False,False
752,False,True,True,False
753,True,False,False,False
754,True,False,False,False
755,False,True,True,False
756,False,True,True,False
757,False,True,False,True
758,False,True,True,False
759,False,True,True,False
760,False,True,True,False
761,True,False,False,False
762,False,True,False,True
763,False,True,False,True
764,True,False,False,False
765,False,True,True,False
766,False,True,False,True
767,False,True,True,False
768,False,True,True,False
769,False,True,False,True
770,True,False,False,False
771,True,False,False,False
772,False,True,True,False
773,False,True,True,False
774,False,True,True,False
775,False,True,True,False
776,False,True,True,False
777,False,True,True,False
778,False,True,True,False
779,False,True,True,False
780,True,False,False,False
781,False,True,False,True
782,True,False,False,False
783,False,True,False,True
784,False,True,True,False
785,True,False,False,False
786,False,True,True,False
787,False,True,True,False
788,False,True,True,False
789,False,True,False,True
790,True,False,False,False
791,False,True,True,False
792,False,True,True,False
793,True,False,False,False
794,False,True,True,False
795,False,True,True,False
796,False,True,False,True
797,False,True,True,False
798,False,True,True,False
799,False,True,True,False
800,False,True,True,False
801,True,False,False,False
802,False,True,True,False
803,True,False,False,False
804,False,True,True,False
805,True,False,False,False
806,False,True,True,False
807,False,True,True,False
808,False,True,True,False
809,False,True,True,False
810,False,True,True,False
811,False,True,True,False
812,False,True,True,False
813,False,True,False,True
814,False,True,False,True
815,False,True,False,True
816,False,True,True,False
817,False,True,False,True
818,False,True,True,False
819,True,False,False,False
820,False,True,True,False
821,True,False,False,False
822,False,True,False,True
823,False,True,True,False
824,False,True,True,False
825,False,True,False,True
826,False,True,False,True
827,True,False,False,False
828,True,False,False,False
829,True,False,False,False
830,False,True,False,True
831,False,True,True,False
832,True,False,False,False
833,False,True,True,False
834,True,False,False,False
835,False,True,False,True
836,False,True,True,False
837,False,True,True,False
838,False,True,True,False
839,False,True,True,False
840,False,True,False,True
841,False,True,True,False
842,False,True,True,False
843,False,True,True,False
844,False,True,True,False
845,False,True,True,False
846,False,True,True,False
847,False,True,False,True
848,False,True,True,False
849,False,True,False,True
850,True,False,False,False
851,False,True,True,False
852,False,True,True,False
853,False,True,True,False
854,False,True,False,True
855,False,True,True,False
856,False,True,True,False
857,False,True,False,True
858,False,True,True,False
859,True,False,False,False
860,False,True,True,False
861,False,True,True,False
862,False,True,True,False
863,False,True,True,False
864,False,True,True,False
865,False,True,True,False
866,False,True,True,False
867,False,True,True,False
868,False,True,True,False
869,False,True,True,False
870,True,False,False,False
871,False,True,True,False
872,False,True,True,False
873,False,True,False,True
874,False,True,True,False
875,False,True,True,False
876,False,True,True,False
877,False,True,False,True
878,False,True,True,False
879,True,False,False,False
880,False,True,True,False
881,True,False,False,False
882,False,True,True,False
883,True,False,False,False
884,False,True,True,False
885,False,True,True,False
886,False,True,True,False
887,False,True,True,False
888,True,False,False,False
889,False,True,True,False
890,False,True,False,True
891,False,True,True,False
892,False,True,True,False
893,False,True,True,False
894,False,True,True,False
895,False,True,True,False
896,False,True,False,True
897,False,True,True,False
898,False,True,False,True
899,False,True,True,False
900,False,True,True,False
901,False,True,False,True
902,False,True,True,False
903,False,True,True,False
904,False,True,True,False
905,False,True,False,True
906,True,False,False,False
907,False,True,False,True
908,False,True,False,True
909,False,True,True,False
910,False,True,True,False
911,False,True,False,True
912,True,False,False,False
913,True,False,False,False
914,True,False,False,False
915,True,False,False,False
916,False,True,True,False
917,False,True,False,True
918,False,True,True,False
919,False,True,False,True
920,False,True,False,True
921,False,True,False,True
922,False,True,False,True
923,False,True,True,False
924,False,True,True,False
925,False,True,True,False
926,False,True,True,False
927,False,True,False,True
928,True,False,False,False
929,False,True,True,False
930,False,True,True,False
931,False,True,False,True
932,False,True,True,False
933,False,True,True,False
934,False,True,False,True
935,False,True,False,True
936,False,True,True,False
937,False,True,True,False
938,False,True,True,False
939,False,True,True,False
940,False,True,True,False
941,False,True,True,False
942,False,True,False,True
943,True,False,False,False
944,False,True,True,False
945,False,True,True,False
946,False,True,False,True
947,False,True,True,False
948,False,True,True,False
949,True,False,False,False
950,False,True,True,False
951,True,False,False,False
952,False,True,False,True
953,False,True,True,False
954,False,True,False,True
955,False,True,True,False
956,False,True,True,False
957,False,True,True,False
958,False,True,True,False
959,False,True,False,True
960,False,True,True,False
961,False,True,True,False
962,False,True,True,False
963,True,False,False,False
964,False,True,False,True
965,False,True,True,False
966,False,True,False,True
967,False,True,False,True
968,False,True,True,False
969,False,True,False,True
970,False,True,True,False
971,False,True,False,True
972,False,True,False,True
973,False,True,False,True
974,False,True,True,False
975,False,True,False,True
976,False,True,False,True
977,False,True,False,True
978,False,True,False,True
979,False,True,False,True
980,False,True,True,False
981,True,False,False,False
982,True,False,False,False
983,False,True,True,False
984,False,True,True,False
985,False,True,True,False
986,False,True,True,False
987,False,True,True,False
988,False,True,True,False
989,False,True,True,False
990,False,True,True,False
991,False,True,False,True
992,False,True,False,True
993,False,True,True,False
994,True,False,False,False
995,False,True,False,True
996,False,True,False,True
997,False,True,False,True
998,False,True,True,False
999,True,False,False,False
1000,False,True,True,False
1001,False,True,True,False
1002,False,True,True,False
1003,False,True,False,True
1004,False,True,False,True
1005,False,True,False,True
1006,False,True,True,False
1007,False,True,True,False
1008,False,True,True,False
1009,False,True,False,True
1010,True,False,False,False
1011,False,True,True,False
1012,False,True,True,False
1013,False,True,True,False
1014,False,True,True,False
1015,True,False,False,False
1016,False,True,False,True
1017,False,True,True,False
1018,True,False,False,False
1019,False,True,False,True
1020,False,True,True,False
1021,False,True,True,False
1022,True,False,False,False
1023,False,True,True,False
1024,True,False,False,False
1025,False,True,True,False
1026,False,True,False,True
1027,False,True,True,False
1028,False,True,True,False
1029,False,True,True,False
1030,False,True,True,False
1031,False,True,True,False
1032,False,True,True,False
1033,False,True,True,False
1034,False,True,True,False
1035,False,True,False,True
1036,True,False,False,False
1037,False,True,True,False
1038,False,True,False,True
1039,False,True,True,False
1040,False,True,False,True
1041,False,True,True,False
1042,False,True,True,False
1043,False,True,True,False
1044,False,True,True,False
1045,False,True,True,False
1046,False,True,True,False
1047,False,True,False,True
1048,False,True,True,False
1049,False,True,True,False
1050,False,True,True,False
1051,False,True,True,False
1052,False,True,False,True
1053,True,False,False,False
1054,False,True,False,True
1055,False,True,True,False
1056,False,True,True,False
1057,True,False,False,False
1058,False,True,False,True
1059,True,False,False,False
1060,False,True,True,False
1061,False,True,True,False
1062,True,False,False,False
1063,True,False,False,False
1064,False,True,True,False
1065,False,True,True,False
1066,False,True,False,True
1067,False,True,True,False
1068,True,False,False,False
1069,False,True,True,False
1070,True,False,False,False
1071,False,True,False,True
1072,True,False,False,False
1073,False,True,True,False
1074,False,True,False,True
1075,False,True,True,False
1076,False,True,False,True
1077,True,False,False,False
1078,False,True,True,False
1079,False,True,False,True
1080,False,True,True,False
1081,False,True,False,True
1082,False,True,False,True
1083,False,True,True,False
1084,False,True,True,False
1085,False,True,True,False
1086,True,False,False,False
1087,False,True,False,True
1088,False,True,True,False
1089,True,False,False,False
1090,False,True,True,False
1091,True,False,False,False
1092,False,True,True,False
1093,False,True,True,False
1094,False,True,True,False
1095,False,True,False,True
1096,False,True,True,False
1097,False,True,False,True
1098,False,True,True,False
1099,False,True,True,False
1100,False,True,True,False
1101,False,True,True,False
1102,False,True,True,False
1103,False,True,True,False
1104,False,True,True,False
1105,False,True,False,True
1106,False,True,True,False
1107,True,False,False,False
1108,True,False,False,False
1109,False,True,True,False
1110,False,True,True,False
1111,False,True,True,False
1112,True,False,False,False
1113,True,False,False,False
1114,True,False,False,False
1115,False,True,False,True
1116,False,True,False,True
1117,False,True,True,False
1118,False,True,True,False
1119,False,True,True,False
1120,True,False,False,False
1121,False,True,True,False
1122,False,True,False,True
1123,False,True,False,True
1124,False,True,True,False
1125,False,True,True,False
1126,False,True,False,True
1127,False,True,True,False
1128,False,True,False,True
1129,True,False,False,False
1130,False,True,True,False
1131,False,True,True,False
1132,False,True,True,False
1133,False,True,False,True
1134,False,True,False,True
1135,False,True,True,False
1136,False,True,True,False
1137,True,False,False,False
1138,False,True,True,False
1139,False,True,True,False
1140,False,True,False,True
1141,False,True,True,False
1142,False,True,False,True
1143,True,False,False,False
1144,False,True,False,True
1145,False,True,False,True
1146,False,True,True,False
1147,False,True,False,True
1148,False,True,True,False
1149,False,True,False,True
1150,True,False,False,False
1151,True,False,False,False
1152,False,True,True,False
1153,False,True,True,False
1154,False,True,True,False
1155,False,True,True,False
1156,False,True,True,False
1157,False,True,True,False
1158,False,True,False,True
1159,False,True,False,True
1160,False,True,True,False
1161,False,True,True,False
1162,False,True,False,True
1163,False,True,True,False
1164,False,True,True,False
1165,False,True,True,False
1166,True,False,False,False
1167,True,False,False,False
1168,False,True,True,False
1169,True,False,False,False
1170,False,True,False,True
1171,False,True,True,False
1172,False,True,False,True
1173,False,True,False,True
1174,True,False,False,False
1175,True,False,False,False
1176,False,True,False,True
1177,False,True,False,True
1178,False,True,True,False
1179,False,True,False,True
1180,False,True,True,False
1181,False,True,False,True
1182,False,True,True,False
1183,False,True,True,False
1184,False,True,True,False
1185,True,False,False,False
1186,False,True,True,False
1187,False,True,True,False
1188,False,True,True,False
1189,False,True,True,False
1190,False,True,False,True
1191,False,True,True,False
1192,False,True,False,True
1193,False,True,False,True
1194,False,True,False,True
1195,False,True,True,False
1196,True,False,False,False
1197,False,True,True,False
1198,False,True,True,False
1199,False,True,False,True
1200,False,True,True,False
1201,False,True,True,False
1202,False,True,True,False
1203,False,True,False,True
1204,False,True,False,True
1205,False,True,True,False
1206,False,True,True,False
1207,False,True,True,False
1208,False,True,True,False
1209,False,True,False,True
1210,False,True,True,False
1211,False,True,True,False
1212,False,True,False,True
1213,False,True,True,False
1214,False,True,True,False
1215,False,True,False,True
1216,True,False,False,False
1217,True,False,False,False
1218,False,True,True,False
1219,False,True,True,False
1220,True,False,False,False
1221,False,True,False,True
1222,False,True,True,False
1223,False,True,False,True
1224,False,True,False,True
1225,False,True,False,True
1226,False,True,True,False
1227,True,False,False,False
1228,False,True,True,False
1229,False,True,False,True
1230,False,True,True,False
1231,True,False,False,False
1232,True,False,False,False
1233,False,True,False,True
1234,False,True,False,True
1235,False,True,True,False
1236,False,True,True,False
1237,False,True,False,True
1238,False,True,True,False
1239,True,False,False,False
1240,False,True,True,False
1241,False,True,False,True
1242,True,False,False,False
1243,False,True,True,False
1244,False,True,False,True
1245,False,True,True,False
1246,False,True,False,True
1247,False,True,False,True
1248,False,True,True,False
1249,False,True,False,True
1250,False,True,False,True
1251,False,True,False,True
1252,False,True,True,False
1253,True,False,False,False
1254,False,True,True,False
1255,False,True,True,False
1256,False,True,False,True
1257,False,True,False,True
1258,False,True,False,True
1259,False,True,False,True
1260,True,False,False,False
1261,False,True,True,False
1262,False,True,True,False
1263,True,False,False,False
1264,False,True,False,True
1265,False,True,True,False
1266,False,True,True,False
1267,False,True,False,True
1268,False,True,True,False
1269,False,True,False,True
1270,False,True,True,False
1271,False,True,False,True
1272,False,True,True,False
1273,False,True,True,False
1274,True,False,False,False
1275,False,True,True,False
1276,False,True,True,False
1277,False,True,True,False
1278,False,True,True,False
1279,False,True,True,False
1280,False,True,True,False
1281,False,True,True,False
1282,False,True,True,False
1283,False,True,True,False
1284,False,True,True,False
1285,False,True,True,False
1286,False,True,True,False
1287,False,True,True,False
1288,False,True,True,False
1289,False,True,True,False
1290,False,True,True,False
1291,False,True,True,False
1292,False,True,True,False
1293,False,True,True,False
1294,False,True,True,False
1295,False,True,False,True
1296,False,True,True,False
1297,False,True,False,True
1298,False,True,False,True
1299,False,True,True,False
1300,True,False,False,False
1301,False,True,True,False
1302,False,True,True,False
1303,True,False,False,False
1304,False,True,False,True
1305,False,True,True,False
1306,False,True,False,True
1307,True,False,False,False
1308,False,True,True,False
1309,False,True,True,False
1310,True,False,False,False
1311,False,True,True,False
1312,False,True,True,False
1313,False,True,True,False
1314,False,True,False,True
1315,True,False,False,False
1316,True,False,False,False
1317,False,True,True,False
1318,False,True,True,False
1319,False,True,True,False
1320,False,True,False,True
1321,False,True,True,False
1322,False,True,False,True
1323,False,True,True,False
1324,False,True,True,False
1325,True,False,False,False
1326,False,True,True,False
1327,True,False,False,False
1328,True,False,False,False
1329,False,True,False,True
1330,False,True,False,True
1331,False,True,True,False
1332,False,True,False,True
1333,False,True,True,False
1334,True,False,False,False
1335,False,True,True,False
1336,True,False,False,False
1337,False,True,True,False
1338,False,True,False,True
1339,False,True,True,False
1340,False,True,False,True
1341,False,True,False,True
1342,True,False,False,False
1343,False,True,False,True
1344,False,True,False,True
1345,False,True,True,False
1346,False,True,True,False
1347,False,True,False,True
1348,True,False,False,False
1349,False,True,True,False
1350,False,True,True,False
1351,False,True,True,False
1352,False,True,False,True
1353,False,True,True,False
1354,False,True,False,True
1355,True,False,False,False
1356,False,True,True,False
1357,True,False,False,False
1358,False,True,False,True
